Distance (µm),Ca Ox%,
0,0.964002,
1.47541881603857,1.014364,
2.95083763207713,1.000251,
4.4262564481157,0.970096,
5.90167526415426,0.979184,
7.37709408019283,0.973327,
8.8525128962314,1.002839,
10.32793171227,0.985643,
11.8033505283085,0.954596,
13.2787693443471,0.997714,
14.7541881603857,0.965822,
16.2296069764242,0.998042,
17.7050257924628,0.97916,
19.1804446085013,0.967356,
20.6558634245399,0.963705,
22.1312822405785,0.95153,
23.6067010566171,0.968748,
25.0821198726556,0.966507,
26.5575386886942,0.981631,
28.0329575047327,0.990775,
29.5083763207713,0.96271,
30.9837951368099,0.996147,
32.4592139528484,0.994983,
33.934632768887,1.014872,
35.4100515849256,1.042229,
36.8854704009641,1.031797,
38.3608892170027,1.010996,
39.8363080330413,0.993435,
41.3117268490798,0.980034,
42.7871456651184,0.936898,
44.262564481157,1.00832,
45.7379832971955,1.014821,
47.2134021132341,1.013596,
48.6888209292727,0.98318,
50.1642397453112,0.965604,
51.6396585613498,0.988072,
53.1150773773884,0.990619,
54.5904961934269,0.99419,
56.0659150094655,0.990447,
57.5413338255041,1.21231,
59.0167526415426,1.003322,
60.4921714575812,1.019788,
61.9675902736197,0.975446,
63.4430090896583,1.034627,
64.9184279056969,1.275786,
66.3938467217355,1.448572,
67.869265537774,0.761675,
69.3446843538126,0.282338,
70.8201031698511,0.26874,
72.2955219858897,0.266847,
73.7709408019283,0.37128,
75.2463596179669,0.911967,
76.7217784340054,4.235767,
78.197197250044,3.46497,
79.6726160660825,9.802141,
81.1480348821211,8.921948,
82.6234536981597,3.24655,
84.0988725141982,1.806354,
85.5742913302368,0.717381,
87.0497101462754,0.638428,
88.5251289623139,0.49363,
90.0005477783525,0.433464,
91.4759665943911,0.400876,
92.9513854104296,0.279914,
94.4268042264682,0.351946,
95.9022230425067,0.481457,
97.3776418585453,0.281415,
98.8530606745839,0.306221,
100.328479490622,0.422643,
101.803898306661,0.539587,
103.2793171227,8.819029,
104.754735938738,17.2216,
106.230154754777,9.014247,
107.705573570815,0.829061,
109.180992386854,0.295753,
110.656411202892,0.297635,
112.131830018931,0.264309,
113.60724883497,0.498218,
115.082667651008,0.720898,
116.558086467047,0.401406,
118.033505283085,0.633051,
119.508924099124,0.946766,
120.984342915162,1.299589,
122.459761731201,4.308309,
123.935180547239,1.203599,
125.410599363278,1.796719,
126.886018179317,3.283272,
128.361436995355,7.111242,
129.836855811394,10.8471,
131.312274627432,8.364849,
132.787693443471,4.602126,
134.263112259509,2.861629,
135.738531075548,1.949146,
137.213949891587,1.988732,
138.689368707625,13.25826,
140.164787523664,13.73583,
141.640206339702,10.37825,
143.115625155741,4.111615,
144.591043971779,3.5881,
146.066462787818,3.350199,
147.541881603857,1.18897,
149.017300419895,0.4249,
150.492719235934,0.338968,
151.968138051972,0.321637,
153.443556868011,0.306352,
154.918975684049,0.348839,
156.394394500088,0.484687,
157.869813316127,0.763133,
159.345232132165,0.987687,
160.820650948204,1.021407,
162.296069764242,0.996008,
163.771488580281,1.430126,
165.246907396319,10.23915,
166.722326212358,18.9752,
168.197745028396,20.02633,
169.673163844435,19.96602,
171.148582660474,20.05326,
172.624001476512,19.96545,
174.099420292551,19.99797,
175.574839108589,20.03729,
177.050257924628,20.05757,
178.525676740666,20.03424,
180.001095556705,19.97745,
181.476514372744,20.04365,
182.951933188782,20.07739,
184.427352004821,20.08986,
185.902770820859,20.05995,
187.378189636898,20.11104,
188.853608452936,20.11658,
190.329027268975,20.06496,
191.804446085013,20.11551,
193.279864901052,20.10048,
194.755283717091,19.94754,
196.230702533129,20.08034,
197.706121349168,20.04142,
199.181540165206,20.08379,
200.656958981245,20.11612,
202.132377797283,20.04707,
203.607796613322,20.03957,
205.083215429361,20.05945,
206.558634245399,20.08179,
208.034053061438,20.07113,
209.509471877476,20.25468,
210.984890693515,19.99428,
212.460309509553,19.96406,
213.935728325592,20.01991,
215.411147141631,20.11463,
216.886565957669,20.07227,
218.361984773708,20.04642,
219.837403589746,20.01979,
