Distance (µm),Ti Ox%,
0,0.218567,
1.47541881603857,0.182465,
2.95083763207713,0.203547,
4.4262564481157,0.185771,
5.90167526415426,0.187361,
7.37709408019283,0.182617,
8.8525128962314,0.209048,
10.32793171227,0.225799,
11.8033505283085,0.223094,
13.2787693443471,0.209221,
14.7541881603857,0.204181,
16.2296069764242,0.19148,
17.7050257924628,0.190295,
19.1804446085013,0.21693,
20.6558634245399,0.200804,
22.1312822405785,0.236464,
23.6067010566171,0.194135,
25.0821198726556,0.217028,
26.5575386886942,0.212757,
28.0329575047327,0.192926,
29.5083763207713,0.202138,
30.9837951368099,0.210899,
32.4592139528484,0.243555,
33.934632768887,0.189812,
35.4100515849256,0.204066,
36.8854704009641,0.173305,
38.3608892170027,0.206949,
39.8363080330413,0.178022,
41.3117268490798,0.209679,
42.7871456651184,0.214734,
44.262564481157,0.186067,
45.7379832971955,0.210527,
47.2134021132341,0.213091,
48.6888209292727,0.168662,
50.1642397453112,0.20985,
51.6396585613498,0.232818,
53.1150773773884,0.182895,
54.5904961934269,0.190659,
56.0659150094655,0.203597,
57.5413338255041,0.224504,
59.0167526415426,0.263341,
60.4921714575812,0.230874,
61.9675902736197,0.245719,
63.4430090896583,0.237488,
64.9184279056969,0.385139,
66.3938467217355,0.410996,
67.869265537774,0.145437,
69.3446843538126,0.00637,
70.8201031698511,0.006362,
72.2955219858897,0.015107,
73.7709408019283,0.015404,
75.2463596179669,0.064158,
76.7217784340054,0.213432,
78.197197250044,0.339616,
79.6726160660825,0.352307,
81.1480348821211,0.440338,
82.6234536981597,0.507444,
84.0988725141982,0.45819,
85.5742913302368,0.083167,
87.0497101462754,0.041956,
88.5251289623139,0.023916,
90.0005477783525,0.200493,
91.4759665943911,0.204987,
92.9513854104296,0.061007,
94.4268042264682,0.043334,
95.9022230425067,0.181934,
97.3776418585453,0.016859,
98.8530606745839,0.060761,
100.328479490622,0.291987,
101.803898306661,0.100065,
103.2793171227,0.196975,
104.754735938738,0.265394,
106.230154754777,0.185646,
107.705573570815,0.023493,
109.180992386854,0.03039,
110.656411202892,0.033114,
112.131830018931,-0.010213,
113.60724883497,0.272959,
115.082667651008,0.47399,
116.558086467047,0.139841,
118.033505283085,0.443191,
119.508924099124,0.551794,
120.984342915162,0.205116,
122.459761731201,0.157374,
123.935180547239,0.199514,
125.410599363278,0.334171,
126.886018179317,0.598558,
128.361436995355,0.609777,
129.836855811394,0.512783,
131.312274627432,0.582028,
132.787693443471,0.620823,
134.263112259509,0.562797,
135.738531075548,0.496932,
137.213949891587,0.565599,
138.689368707625,0.450175,
140.164787523664,0.340197,
141.640206339702,0.225549,
143.115625155741,0.185692,
144.591043971779,0.147863,
146.066462787818,0.094345,
147.541881603857,0.021507,
149.017300419895,0.019465,
150.492719235934,0.038747,
151.968138051972,0.036029,
153.443556868011,0.01537,
154.918975684049,0.074318,
156.394394500088,0.450362,
157.869813316127,0.729403,
159.345232132165,0.91487,
160.820650948204,0.892784,
162.296069764242,0.910048,
163.771488580281,0.923949,
165.246907396319,0.834951,
166.722326212358,0.824646,
168.197745028396,0.829415,
169.673163844435,0.840884,
171.148582660474,0.826199,
172.624001476512,0.820347,
174.099420292551,0.808992,
175.574839108589,0.825209,
177.050257924628,0.783849,
178.525676740666,0.79093,
180.001095556705,0.80255,
181.476514372744,0.855128,
182.951933188782,0.818396,
184.427352004821,0.801818,
185.902770820859,0.780103,
187.378189636898,0.827471,
188.853608452936,0.838489,
190.329027268975,0.822472,
191.804446085013,0.863595,
193.279864901052,0.807808,
194.755283717091,0.842692,
196.230702533129,0.790127,
197.706121349168,0.793952,
199.181540165206,0.819725,
200.656958981245,0.85426,
202.132377797283,0.810134,
203.607796613322,0.834268,
205.083215429361,0.814023,
206.558634245399,0.837311,
208.034053061438,0.849847,
209.509471877476,0.813131,
210.984890693515,0.830901,
212.460309509553,0.867152,
213.935728325592,0.812929,
215.411147141631,0.824909,
216.886565957669,0.821824,
218.361984773708,0.831862,
219.837403589746,0.782472,
