Distance (µm),Mn Ox%,
0,0.096399,
0.410250997383436,0.109097,
0.820501994766882,0.110779,
1.23075299215032,0.170775,
1.64100398953375,0.155231,
2.0512549869172,0.097086,
2.46150598430064,0.13295,
2.87175698168408,0.141662,
3.28200797906752,0.112163,
3.69225897645096,0.130334,
4.10250997383439,0.143754,
4.51276097121784,0.13837,
4.92301196860127,0.113349,
5.33326296598471,0.120507,
5.74351396336816,0.118517,
6.1537649607516,0.127038,
6.56401595813503,0.119446,
6.97426695551848,0.117991,
7.38451795290191,0.121564,
7.79476895028535,0.108416,
8.2050199476688,0.097608,
8.61527094505223,0.109039,
9.02552194243567,0.135648,
9.4357729398191,0.160597,
9.84602393720255,0.106386,
10.256274934586,0.15001,
10.6665259319694,0.131177,
11.0767769293529,0.135052,
11.4870279267363,0.098811,
11.8972789241197,0.162003,
12.3075299215032,0.106948,
12.7177809188866,0.126127,
13.1280319162701,0.123552,
13.5382829136535,0.122878,
13.9485339110369,0.140036,
14.3587849084204,0.121415,
14.7690359058038,0.15767,
15.1792869031873,0.115646,
15.5895379005707,0.107022,
15.9997888979541,0.150094,
16.4100398953376,0.123128,
16.820290892721,0.134689,
17.2305418901045,0.136264,
17.6407928874879,0.110055,
18.0510438848713,0.092678,
18.4612948822548,0.066104,
18.8715458796382,0.131774,
19.2817968770217,0.137316,
19.6920478744051,0.159681,
20.1022988717885,0.128533,
20.512549869172,0.1671,
20.9228008665554,0.127253,
21.3330518639389,0.124789,
21.7433028613223,0.120109,
22.1535538587057,0.128541,
22.5638048560892,0.133924,
22.9740558534726,0.16257,
23.3843068508561,0.123351,
23.7945578482395,0.11809,
24.2048088456229,0.104492,
24.6150598430064,0.143615,
25.0253108403898,0.104704,
25.4355618377732,0.115538,
25.8458128351567,0.114004,
26.2560638325401,0.122247,
26.6663148299236,0.136432,
27.076565827307,0.129447,
27.4868168246905,0.11636,
27.8970678220739,0.153178,
28.3073188194573,0.134275,
28.7175698168408,0.121366,
29.1278208142242,0.12513,
29.5380718116077,0.117321,
29.9483228089911,0.116196,
30.3585738063745,0.140587,
30.768824803758,0.145939,
31.1790758011414,0.130694,
31.5893267985248,0.130794,
31.9995777959083,0.108974,
32.4098287932917,0.11287,
32.8200797906752,0.115077,
33.2303307880586,0.14578,
33.640581785442,0.144197,
34.0508327828255,0.130955,
34.4610837802089,0.114319,
34.8713347775924,0.145469,
35.2815857749758,0.128476,
35.6918367723593,0.174728,
36.1020877697427,0.115687,
36.5123387671261,0.139552,
36.9225897645096,0.150821,
37.332840761893,0.117141,
37.7430917592764,0.143331,
38.1533427566599,0.139012,
38.5635937540433,0.128003,
38.9738447514268,0.122974,
39.3840957488102,0.137413,
39.7943467461936,0.109782,
40.2045977435771,0.146203,
40.6148487409605,0.080377,
41.025099738344,0.160938,
41.4353507357274,0.129426,
41.8456017331108,0.118814,
42.2558527304943,0.098797,
42.6661037278777,0.133601,
43.0763547252611,0.117492,
43.4866057226446,0.137006,
43.896856720028,0.140645,
44.3071077174115,0.136533,
44.7173587147949,0.130653,
45.1276097121784,0.142283,
45.5378607095618,0.082505,
45.9481117069452,0.092224,
46.3583627043287,0.114089,
46.7686137017121,0.150649,
47.1788646990956,0.146986,
47.589115696479,0.116965,
47.9993666938624,0.093165,
48.4096176912459,0.130401,
48.8198686886293,0.123437,
49.2301196860127,0.133809,
49.6403706833962,0.151808,
50.0506216807796,0.136913,
50.4608726781631,0.126551,
50.8711236755465,0.132298,
51.2813746729299,0.156093,
51.6916256703134,0.114439,
52.1018766676968,0.12152,
52.5121276650803,0.136686,
52.9223786624637,0.123163,
53.3326296598471,0.116279,
53.7428806572306,0.139533,
54.153131654614,0.132331,
54.5633826519975,0.114136,
54.9736336493809,0.115609,
55.3838846467643,0.120533,
55.7941356441478,0.140353,
56.2043866415312,0.109752,
56.6146376389147,0.131513,
57.0248886362981,0.16903,
57.4351396336815,0.13308,
57.845390631065,0.136859,
58.2556416284484,0.158812,
58.6658926258319,0.130473,
59.0761436232153,0.091499,
59.4863946205987,0.113222,
59.8966456179822,0.116377,
60.3068966153656,0.127309,
60.7171476127491,0.151914,
61.1273986101325,0.114952,
