Distance (µm),Cr Ox%,
0,0.845959,
0.410250997383436,0.863079,
0.820501994766882,0.818215,
1.23075299215032,0.816979,
1.64100398953375,0.789636,
2.0512549869172,0.866296,
2.46150598430064,0.868029,
2.87175698168408,0.795571,
3.28200797906752,0.762789,
3.69225897645096,0.761977,
4.10250997383439,0.793226,
4.51276097121784,0.832878,
4.92301196860127,0.840533,
5.33326296598471,0.804838,
5.74351396336816,0.799308,
6.1537649607516,0.803013,
6.56401595813503,0.836075,
6.97426695551848,0.857209,
7.38451795290191,0.838748,
7.79476895028535,0.789924,
8.2050199476688,0.84745,
8.61527094505223,0.830613,
9.02552194243567,0.808609,
9.4357729398191,0.840865,
9.84602393720255,0.817615,
10.256274934586,0.764055,
10.6665259319694,0.805469,
11.0767769293529,0.834275,
11.4870279267363,0.813061,
11.8972789241197,0.77928,
12.3075299215032,0.85759,
12.7177809188866,0.830051,
13.1280319162701,0.804677,
13.5382829136535,0.861906,
13.9485339110369,0.823951,
14.3587849084204,0.747744,
14.7690359058038,0.865651,
15.1792869031873,0.861837,
15.5895379005707,0.812643,
15.9997888979541,0.768241,
16.4100398953376,0.845984,
16.820290892721,0.853831,
17.2305418901045,0.822211,
17.6407928874879,0.781047,
18.0510438848713,0.839125,
18.4612948822548,0.808725,
18.8715458796382,0.764869,
19.2817968770217,0.827813,
19.6920478744051,0.818735,
20.1022988717885,0.829578,
20.512549869172,0.813029,
20.9228008665554,0.847533,
21.3330518639389,0.835319,
21.7433028613223,0.801144,
22.1535538587057,0.787374,
22.5638048560892,0.815379,
22.9740558534726,0.832073,
23.3843068508561,0.831759,
23.7945578482395,0.810771,
24.2048088456229,0.836728,
24.6150598430064,0.844997,
25.0253108403898,0.787399,
25.4355618377732,0.795703,
25.8458128351567,0.82049,
26.2560638325401,0.83814,
26.6663148299236,0.794128,
27.076565827307,0.78436,
27.4868168246905,0.811277,
27.8970678220739,0.775514,
28.3073188194573,0.764589,
28.7175698168408,0.83881,
29.1278208142242,0.814308,
29.5380718116077,0.792414,
29.9483228089911,0.776668,
30.3585738063745,0.798522,
30.768824803758,0.803425,
31.1790758011414,0.834843,
31.5893267985248,0.80746,
31.9995777959083,0.840959,
32.4098287932917,0.805611,
32.8200797906752,0.826831,
33.2303307880586,0.79917,
33.640581785442,0.846743,
34.0508327828255,0.777352,
34.4610837802089,0.837915,
34.8713347775924,0.802931,
35.2815857749758,0.832847,
35.6918367723593,0.847364,
36.1020877697427,0.830319,
36.5123387671261,0.770189,
36.9225897645096,0.780294,
37.332840761893,0.827044,
37.7430917592764,0.790104,
38.1533427566599,0.842388,
38.5635937540433,0.79962,
38.9738447514268,0.833346,
39.3840957488102,0.784414,
39.7943467461936,0.796467,
40.2045977435771,0.842962,
40.6148487409605,0.793009,
41.025099738344,0.808505,
41.4353507357274,0.802815,
41.8456017331108,0.785869,
42.2558527304943,0.838552,
42.6661037278777,0.828553,
43.0763547252611,0.828266,
43.4866057226446,0.830319,
43.896856720028,0.837756,
44.3071077174115,0.838941,
44.7173587147949,0.819942,
45.1276097121784,0.806529,
45.5378607095618,0.862001,
45.9481117069452,0.800695,
46.3583627043287,0.837802,
46.7686137017121,0.86199,
47.1788646990956,0.825992,
47.589115696479,0.848918,
47.9993666938624,0.834474,
48.4096176912459,0.836726,
48.8198686886293,0.82355,
49.2301196860127,0.802897,
49.6403706833962,0.775248,
50.0506216807796,0.777785,
50.4608726781631,0.807756,
50.8711236755465,0.846121,
51.2813746729299,0.818337,
51.6916256703134,0.823079,
52.1018766676968,0.84137,
52.5121276650803,0.796958,
52.9223786624637,0.821849,
53.3326296598471,0.827901,
53.7428806572306,0.83078,
54.153131654614,0.869129,
54.5633826519975,0.778512,
54.9736336493809,0.816966,
55.3838846467643,0.810597,
55.7941356441478,0.824831,
56.2043866415312,0.847479,
56.6146376389147,0.787428,
57.0248886362981,0.775588,
57.4351396336815,0.845199,
57.845390631065,0.821407,
58.2556416284484,0.836841,
58.6658926258319,0.816433,
59.0761436232153,0.815224,
59.4863946205987,0.818214,
59.8966456179822,0.835,
60.3068966153656,0.818301,
60.7171476127491,0.790269,
61.1273986101325,0.848495,
