Distance (µm),Ti Ox%,
0,0.458869,
0.410250997383436,0.463349,
0.820501994766882,0.473082,
1.23075299215032,0.482428,
1.64100398953375,0.453262,
2.0512549869172,0.432406,
2.46150598430064,0.434897,
2.87175698168408,0.462497,
3.28200797906752,0.475963,
3.69225897645096,0.443386,
4.10250997383439,0.432451,
4.51276097121784,0.444391,
4.92301196860127,0.412633,
5.33326296598471,0.485506,
5.74351396336816,0.419963,
6.1537649607516,0.458112,
6.56401595813503,0.460242,
6.97426695551848,0.440834,
7.38451795290191,0.456843,
7.79476895028535,0.462659,
8.2050199476688,0.439839,
8.61527094505223,0.480097,
9.02552194243567,0.458986,
9.4357729398191,0.427147,
9.84602393720255,0.457748,
10.256274934586,0.481462,
10.6665259319694,0.438896,
11.0767769293529,0.460606,
11.4870279267363,0.463159,
11.8972789241197,0.454894,
12.3075299215032,0.449621,
12.7177809188866,0.437664,
13.1280319162701,0.453897,
13.5382829136535,0.454004,
13.9485339110369,0.444775,
14.3587849084204,0.451048,
14.7690359058038,0.460286,
15.1792869031873,0.481204,
15.5895379005707,0.43406,
15.9997888979541,0.457032,
16.4100398953376,0.464166,
16.820290892721,0.462279,
17.2305418901045,0.44311,
17.6407928874879,0.419365,
18.0510438848713,0.456836,
18.4612948822548,0.437159,
18.8715458796382,0.442104,
19.2817968770217,0.449721,
19.6920478744051,0.45665,
20.1022988717885,0.462834,
20.512549869172,0.443537,
20.9228008665554,0.421516,
21.3330518639389,0.445241,
21.7433028613223,0.440735,
22.1535538587057,0.443066,
22.5638048560892,0.443166,
22.9740558534726,0.4683,
23.3843068508561,0.458994,
23.7945578482395,0.438687,
24.2048088456229,0.425408,
24.6150598430064,0.459729,
25.0253108403898,0.427446,
25.4355618377732,0.458745,
25.8458128351567,0.443421,
26.2560638325401,0.446895,
26.6663148299236,0.429131,
27.076565827307,0.469981,
27.4868168246905,0.486964,
27.8970678220739,0.453712,
28.3073188194573,0.437222,
28.7175698168408,0.467331,
29.1278208142242,0.428483,
29.5380718116077,0.448285,
29.9483228089911,0.471041,
30.3585738063745,0.462475,
30.768824803758,0.476321,
31.1790758011414,0.452547,
31.5893267985248,0.45461,
31.9995777959083,0.458495,
32.4098287932917,0.420327,
32.8200797906752,0.463083,
33.2303307880586,0.44876,
33.640581785442,0.464421,
34.0508327828255,0.4696,
34.4610837802089,0.478947,
34.8713347775924,0.412037,
35.2815857749758,0.459209,
35.6918367723593,0.437705,
36.1020877697427,0.438792,
36.5123387671261,0.432068,
36.9225897645096,0.404706,
37.332840761893,0.433817,
37.7430917592764,0.439,
38.1533427566599,0.454898,
38.5635937540433,0.453091,
38.9738447514268,0.438184,
39.3840957488102,0.446674,
39.7943467461936,0.430416,
40.2045977435771,0.457955,
40.6148487409605,0.419942,
41.025099738344,0.430485,
41.4353507357274,0.463252,
41.8456017331108,0.468478,
42.2558527304943,0.457887,
42.6661037278777,0.479792,
43.0763547252611,0.489092,
43.4866057226446,0.469802,
43.896856720028,0.465723,
44.3071077174115,0.455983,
44.7173587147949,0.420056,
45.1276097121784,0.452831,
45.5378607095618,0.467279,
45.9481117069452,0.432152,
46.3583627043287,0.464627,
46.7686137017121,0.461769,
47.1788646990956,0.454651,
47.589115696479,0.47086,
47.9993666938624,0.454573,
48.4096176912459,0.449309,
48.8198686886293,0.493531,
49.2301196860127,0.429242,
49.6403706833962,0.470695,
50.0506216807796,0.495147,
50.4608726781631,0.444406,
50.8711236755465,0.422887,
51.2813746729299,0.436225,
51.6916256703134,0.456959,
52.1018766676968,0.432632,
52.5121276650803,0.444934,
52.9223786624637,0.465829,
53.3326296598471,0.475344,
53.7428806572306,0.449641,
54.153131654614,0.479781,
54.5633826519975,0.464963,
54.9736336493809,0.480486,
55.3838846467643,0.424387,
55.7941356441478,0.468143,
56.2043866415312,0.45383,
56.6146376389147,0.455786,
57.0248886362981,0.437676,
57.4351396336815,0.440322,
57.845390631065,0.460365,
58.2556416284484,0.482086,
58.6658926258319,0.488337,
59.0761436232153,0.514448,
59.4863946205987,0.452468,
59.8966456179822,0.433615,
60.3068966153656,0.449359,
60.7171476127491,0.480047,
61.1273986101325,0.461476,
