Distance (µm),Mg Ox%,
0,17.34705,
0.410250997383436,17.31585,
0.820501994766882,17.32692,
1.23075299215032,17.35497,
1.64100398953375,17.31045,
2.0512549869172,17.32577,
2.46150598430064,17.38547,
2.87175698168408,17.30678,
3.28200797906752,17.40459,
3.69225897645096,17.35924,
4.10250997383439,17.36116,
4.51276097121784,17.35522,
4.92301196860127,17.33231,
5.33326296598471,17.40271,
5.74351396336816,17.29772,
6.1537649607516,17.26791,
6.56401595813503,17.28727,
6.97426695551848,17.28542,
7.38451795290191,17.34835,
7.79476895028535,17.36842,
8.2050199476688,17.32719,
8.61527094505223,17.32773,
9.02552194243567,17.32981,
9.4357729398191,17.27537,
9.84602393720255,17.35251,
10.256274934586,17.35944,
10.6665259319694,17.39309,
11.0767769293529,17.32878,
11.4870279267363,17.29836,
11.8972789241197,17.24714,
12.3075299215032,17.31334,
12.7177809188866,17.39637,
13.1280319162701,17.33646,
13.5382829136535,17.3742,
13.9485339110369,17.39708,
14.3587849084204,17.20064,
14.7690359058038,17.35682,
15.1792869031873,17.36308,
15.5895379005707,17.35223,
15.9997888979541,17.26917,
16.4100398953376,17.29416,
16.820290892721,17.298,
17.2305418901045,17.36548,
17.6407928874879,17.2927,
18.0510438848713,17.34665,
18.4612948822548,17.3632,
18.8715458796382,17.36003,
19.2817968770217,17.23182,
19.6920478744051,17.3117,
20.1022988717885,17.2788,
20.512549869172,17.291,
20.9228008665554,17.26185,
21.3330518639389,17.29368,
21.7433028613223,17.24134,
22.1535538587057,17.33526,
22.5638048560892,17.25435,
22.9740558534726,17.30327,
23.3843068508561,17.2025,
23.7945578482395,17.26225,
24.2048088456229,17.23845,
24.6150598430064,17.30421,
25.0253108403898,17.29011,
25.4355618377732,17.3133,
25.8458128351567,17.22081,
26.2560638325401,17.30798,
26.6663148299236,17.28652,
27.076565827307,17.38125,
27.4868168246905,17.3229,
27.8970678220739,17.33381,
28.3073188194573,17.28623,
28.7175698168408,17.32524,
29.1278208142242,17.22573,
29.5380718116077,17.3013,
29.9483228089911,17.28105,
30.3585738063745,17.37146,
30.768824803758,17.28716,
31.1790758011414,17.28661,
31.5893267985248,17.21531,
31.9995777959083,17.20319,
32.4098287932917,17.27099,
32.8200797906752,17.34146,
33.2303307880586,17.26167,
33.640581785442,17.28323,
34.0508327828255,17.27189,
34.4610837802089,17.29218,
34.8713347775924,17.34023,
35.2815857749758,17.30979,
35.6918367723593,17.31178,
36.1020877697427,17.21975,
36.5123387671261,17.28124,
36.9225897645096,17.31013,
37.332840761893,17.34789,
37.7430917592764,17.4082,
38.1533427566599,17.20268,
38.5635937540433,17.35926,
38.9738447514268,17.3267,
39.3840957488102,17.28527,
39.7943467461936,17.33469,
40.2045977435771,17.33427,
40.6148487409605,17.21075,
41.025099738344,17.2669,
41.4353507357274,17.28169,
41.8456017331108,17.31914,
42.2558527304943,17.3762,
42.6661037278777,17.33731,
43.0763547252611,17.35319,
43.4866057226446,17.36404,
43.896856720028,17.25744,
44.3071077174115,17.23438,
44.7173587147949,17.20819,
45.1276097121784,17.29926,
45.5378607095618,17.34925,
45.9481117069452,17.23783,
46.3583627043287,17.29174,
46.7686137017121,17.28634,
47.1788646990956,17.21316,
47.589115696479,17.24012,
47.9993666938624,17.28465,
48.4096176912459,17.29681,
48.8198686886293,17.24821,
49.2301196860127,17.26046,
49.6403706833962,17.203,
50.0506216807796,17.2007,
50.4608726781631,17.2645,
50.8711236755465,17.27081,
51.2813746729299,17.29503,
51.6916256703134,17.2194,
52.1018766676968,17.20335,
52.5121276650803,17.16573,
52.9223786624637,17.24026,
53.3326296598471,17.33641,
53.7428806572306,17.31119,
54.153131654614,17.32454,
54.5633826519975,17.36701,
54.9736336493809,17.37534,
55.3838846467643,17.33652,
55.7941356441478,17.37283,
56.2043866415312,17.42299,
56.6146376389147,17.36531,
57.0248886362981,17.35151,
57.4351396336815,17.36235,
57.845390631065,17.36531,
58.2556416284484,17.43056,
58.6658926258319,17.33682,
59.0761436232153,17.33306,
59.4863946205987,17.24781,
59.8966456179822,17.35323,
60.3068966153656,17.33257,
60.7171476127491,17.34214,
61.1273986101325,17.44843,
