Distance (µm),K Ox%,
0,0.042733,
0.410250997383436,0.030299,
0.820501994766882,0.02674,
1.23075299215032,0.027919,
1.64100398953375,0.037753,
2.0512549869172,0.039786,
2.46150598430064,0.032516,
2.87175698168408,0.021653,
3.28200797906752,0.039441,
3.69225897645096,0.035265,
4.10250997383439,0.014442,
4.51276097121784,0.037563,
4.92301196860127,0.044433,
5.33326296598471,0.04141,
5.74351396336816,0.046059,
6.1537649607516,0.013359,
6.56401595813503,0.0434,
6.97426695551848,0.020921,
7.38451795290191,0.028067,
7.79476895028535,0.031441,
8.2050199476688,0.033439,
8.61527094505223,0.043337,
9.02552194243567,0.04371,
9.4357729398191,0.055158,
9.84602393720255,0.048368,
10.256274934586,0.032536,
10.6665259319694,0.051138,
11.0767769293529,0.026309,
11.4870279267363,0.042971,
11.8972789241197,0.044167,
12.3075299215032,0.029686,
12.7177809188866,0.056646,
13.1280319162701,0.047239,
13.5382829136535,0.051787,
13.9485339110369,0.023845,
14.3587849084204,0.050674,
14.7690359058038,0.059185,
15.1792869031873,0.026174,
15.5895379005707,0.052345,
15.9997888979541,0.020263,
16.4100398953376,0.039955,
16.820290892721,0.034795,
17.2305418901045,0.030544,
17.6407928874879,0.022071,
18.0510438848713,0.009594,
18.4612948822548,0.026237,
18.8715458796382,0.041731,
19.2817968770217,0.029591,
19.6920478744051,0.047669,
20.1022988717885,0.037502,
20.512549869172,0.023717,
20.9228008665554,0.040522,
21.3330518639389,0.061668,
21.7433028613223,0.042757,
22.1535538587057,0.023208,
22.5638048560892,0.03101,
22.9740558534726,0.030783,
23.3843068508561,0.036015,
23.7945578482395,0.015804,
24.2048088456229,0.031158,
24.6150598430064,0.054082,
25.0253108403898,0.039452,
25.4355618377732,0.056282,
25.8458128351567,0.040808,
26.2560638325401,0.026778,
26.6663148299236,0.034784,
27.076565827307,0.035083,
27.4868168246905,0.031138,
27.8970678220739,0.022695,
28.3073188194573,0.046817,
28.7175698168408,0.028671,
29.1278208142242,0.02401,
29.5380718116077,0.029962,
29.9483228089911,0.046269,
30.3585738063745,0.02943,
30.768824803758,0.02552,
31.1790758011414,0.03678,
31.5893267985248,0.025081,
31.9995777959083,0.026387,
32.4098287932917,0.023649,
32.8200797906752,0.033014,
33.2303307880586,0.031512,
33.640581785442,0.01856,
34.0508327828255,0.024044,
34.4610837802089,0.028888,
34.8713347775924,0.039423,
35.2815857749758,0.057236,
35.6918367723593,0.040901,
36.1020877697427,0.041198,
36.5123387671261,0.030729,
36.9225897645096,0.01878,
37.332840761893,0.040024,
37.7430917592764,0.049769,
38.1533427566599,0.026422,
38.5635937540433,0.046311,
38.9738447514268,0.034271,
39.3840957488102,0.031909,
39.7943467461936,0.031873,
40.2045977435771,0.043598,
40.6148487409605,0.0305,
41.025099738344,0.026848,
41.4353507357274,0.030603,
41.8456017331108,0.032954,
42.2558527304943,0.044837,
42.6661037278777,0.045864,
43.0763547252611,0.035159,
43.4866057226446,0.033565,
43.896856720028,0.038674,
44.3071077174115,0.043085,
44.7173587147949,0.046901,
45.1276097121784,0.056526,
45.5378607095618,0.020549,
45.9481117069452,0.019987,
46.3583627043287,0.050934,
46.7686137017121,0.034666,
47.1788646990956,0.05197,
47.589115696479,0.030652,
47.9993666938624,0.042797,
48.4096176912459,0.047253,
48.8198686886293,0.035897,
49.2301196860127,0.044402,
49.6403706833962,0.047312,
50.0506216807796,0.045128,
50.4608726781631,0.049225,
50.8711236755465,0.031524,
51.2813746729299,0.041734,
51.6916256703134,0.055134,
52.1018766676968,0.039732,
52.5121276650803,0.015748,
52.9223786624637,0.041568,
53.3326296598471,0.031976,
53.7428806572306,0.048456,
54.153131654614,0.020356,
54.5633826519975,0.025185,
54.9736336493809,0.029562,
55.3838846467643,0.037892,
55.7941356441478,0.035678,
56.2043866415312,0.022484,
56.6146376389147,0.029278,
57.0248886362981,0.026967,
57.4351396336815,0.031184,
57.845390631065,0.034912,
58.2556416284484,0.040872,
58.6658926258319,0.041377,
59.0761436232153,0.015613,
59.4863946205987,0.048925,
59.8966456179822,0.014791,
60.3068966153656,0.045109,
60.7171476127491,0.038994,
61.1273986101325,0.039569,
