Distance (µm),Fe Ox%,
0,4.659103,
0.410250997383436,4.636498,
0.820501994766882,4.63546,
1.23075299215032,4.678251,
1.64100398953375,4.617403,
2.0512549869172,4.622005,
2.46150598430064,4.649458,
2.87175698168408,4.603935,
3.28200797906752,4.656368,
3.69225897645096,4.646064,
4.10250997383439,4.67244,
4.51276097121784,4.68875,
4.92301196860127,4.623771,
5.33326296598471,4.69205,
5.74351396336816,4.623435,
6.1537649607516,4.619958,
6.56401595813503,4.633867,
6.97426695551848,4.658454,
7.38451795290191,4.591993,
7.79476895028535,4.616295,
8.2050199476688,4.626559,
8.61527094505223,4.644284,
9.02552194243567,4.613133,
9.4357729398191,4.598651,
9.84602393720255,4.63197,
10.256274934586,4.649245,
10.6665259319694,4.689312,
11.0767769293529,4.598343,
11.4870279267363,4.650644,
11.8972789241197,4.598157,
12.3075299215032,4.675171,
12.7177809188866,4.627307,
13.1280319162701,4.658174,
13.5382829136535,4.657423,
13.9485339110369,4.673813,
14.3587849084204,4.668341,
14.7690359058038,4.659031,
15.1792869031873,4.649799,
15.5895379005707,4.701644,
15.9997888979541,4.637224,
16.4100398953376,4.625713,
16.820290892721,4.646003,
17.2305418901045,4.654751,
17.6407928874879,4.630799,
18.0510438848713,4.597813,
18.4612948822548,4.650434,
18.8715458796382,4.6467,
19.2817968770217,4.562796,
19.6920478744051,4.62608,
20.1022988717885,4.67243,
20.512549869172,4.710719,
20.9228008665554,4.640212,
21.3330518639389,4.617852,
21.7433028613223,4.662248,
22.1535538587057,4.609521,
22.5638048560892,4.670564,
22.9740558534726,4.638722,
23.3843068508561,4.605278,
23.7945578482395,4.61465,
24.2048088456229,4.668582,
24.6150598430064,4.605325,
25.0253108403898,4.560388,
25.4355618377732,4.630384,
25.8458128351567,4.623198,
26.2560638325401,4.58952,
26.6663148299236,4.690077,
27.076565827307,4.728848,
27.4868168246905,4.650928,
27.8970678220739,4.63331,
28.3073188194573,4.625811,
28.7175698168408,4.672585,
29.1278208142242,4.591201,
29.5380718116077,4.688058,
29.9483228089911,4.677265,
30.3585738063745,4.589928,
30.768824803758,4.62877,
31.1790758011414,4.649999,
31.5893267985248,4.618638,
31.9995777959083,4.594816,
32.4098287932917,4.594766,
32.8200797906752,4.640058,
33.2303307880586,4.690921,
33.640581785442,4.642994,
34.0508327828255,4.622966,
34.4610837802089,4.637176,
34.8713347775924,4.623438,
35.2815857749758,4.581711,
35.6918367723593,4.578402,
36.1020877697427,4.59245,
36.5123387671261,4.582209,
36.9225897645096,4.58299,
37.332840761893,4.601289,
37.7430917592764,4.573353,
38.1533427566599,4.527892,
38.5635937540433,4.49594,
38.9738447514268,4.630553,
39.3840957488102,4.603628,
39.7943467461936,4.572103,
40.2045977435771,4.576207,
40.6148487409605,4.693197,
41.025099738344,4.635959,
41.4353507357274,4.63061,
41.8456017331108,4.658762,
42.2558527304943,4.736101,
42.6661037278777,4.664203,
43.0763547252611,4.638942,
43.4866057226446,4.654044,
43.896856720028,4.652133,
44.3071077174115,4.60673,
44.7173587147949,4.633731,
45.1276097121784,4.591713,
45.5378607095618,4.629386,
45.9481117069452,4.644336,
46.3583627043287,4.724496,
46.7686137017121,4.66242,
47.1788646990956,4.659183,
47.589115696479,4.670987,
47.9993666938624,4.622879,
48.4096176912459,4.635205,
48.8198686886293,4.586992,
49.2301196860127,4.613022,
49.6403706833962,4.619977,
50.0506216807796,4.488553,
50.4608726781631,4.648198,
50.8711236755465,4.581772,
51.2813746729299,4.63338,
51.6916256703134,4.631238,
52.1018766676968,4.582939,
52.5121276650803,4.629922,
52.9223786624637,4.612651,
53.3326296598471,4.637099,
53.7428806572306,4.611994,
54.153131654614,4.598033,
54.5633826519975,4.66771,
54.9736336493809,4.636369,
55.3838846467643,4.668931,
55.7941356441478,4.675146,
56.2043866415312,4.667633,
56.6146376389147,4.685019,
57.0248886362981,4.610751,
57.4351396336815,4.608508,
57.845390631065,4.674252,
58.2556416284484,4.624947,
58.6658926258319,4.632731,
59.0761436232153,4.666598,
59.4863946205987,4.616624,
59.8966456179822,4.617542,
60.3068966153656,4.634083,
60.7171476127491,4.657367,
61.1273986101325,4.621275,
