Distance (µm),Na Ox%,
0,0.848875,
0.410250997383436,0.86769,
0.820501994766882,0.811436,
1.23075299215032,0.799735,
1.64100398953375,0.816901,
2.0512549869172,0.805436,
2.46150598430064,0.846661,
2.87175698168408,0.804893,
3.28200797906752,0.834146,
3.69225897645096,0.793418,
4.10250997383439,0.819868,
4.51276097121784,0.824188,
4.92301196860127,0.834659,
5.33326296598471,0.819938,
5.74351396336816,0.833958,
6.1537649607516,0.823118,
6.56401595813503,0.822666,
6.97426695551848,0.829181,
7.38451795290191,0.817432,
7.79476895028535,0.817442,
8.2050199476688,0.795021,
8.61527094505223,0.828133,
9.02552194243567,0.802421,
9.4357729398191,0.812229,
9.84602393720255,0.84089,
10.256274934586,0.859526,
10.6665259319694,0.853006,
11.0767769293529,0.823131,
11.4870279267363,0.826532,
11.8972789241197,0.785292,
12.3075299215032,0.793628,
12.7177809188866,0.850163,
13.1280319162701,0.873879,
13.5382829136535,0.795602,
13.9485339110369,0.810375,
14.3587849084204,0.782322,
14.7690359058038,0.814043,
15.1792869031873,0.827016,
15.5895379005707,0.808987,
15.9997888979541,0.819372,
16.4100398953376,0.81658,
16.820290892721,0.833468,
17.2305418901045,0.794623,
17.6407928874879,0.830975,
18.0510438848713,0.810005,
18.4612948822548,0.813198,
18.8715458796382,0.814634,
19.2817968770217,0.852953,
19.6920478744051,0.834675,
20.1022988717885,0.767091,
20.512549869172,0.81011,
20.9228008665554,0.815426,
21.3330518639389,0.848473,
21.7433028613223,0.813906,
22.1535538587057,0.795367,
22.5638048560892,0.863214,
22.9740558534726,0.830862,
23.3843068508561,0.81571,
23.7945578482395,0.821776,
24.2048088456229,0.857018,
24.6150598430064,0.868052,
25.0253108403898,0.810028,
25.4355618377732,0.772833,
25.8458128351567,0.811184,
26.2560638325401,0.830417,
26.6663148299236,0.819703,
27.076565827307,0.83302,
27.4868168246905,0.808519,
27.8970678220739,0.834968,
28.3073188194573,0.829558,
28.7175698168408,0.83422,
29.1278208142242,0.818786,
29.5380718116077,0.795552,
29.9483228089911,0.875218,
30.3585738063745,0.809191,
30.768824803758,0.814371,
31.1790758011414,0.800185,
31.5893267985248,0.848054,
31.9995777959083,0.840148,
32.4098287932917,0.782389,
32.8200797906752,0.820667,
33.2303307880586,0.808511,
33.640581785442,0.868981,
34.0508327828255,0.800145,
34.4610837802089,0.871208,
34.8713347775924,0.815181,
35.2815857749758,0.785509,
35.6918367723593,0.824393,
36.1020877697427,0.808065,
36.5123387671261,0.806722,
36.9225897645096,0.806977,
37.332840761893,0.832314,
37.7430917592764,0.821588,
38.1533427566599,0.824242,
38.5635937540433,0.85434,
38.9738447514268,0.806878,
39.3840957488102,0.806619,
39.7943467461936,0.797434,
40.2045977435771,0.830804,
40.6148487409605,0.861491,
41.025099738344,0.822137,
41.4353507357274,0.827629,
41.8456017331108,0.858482,
42.2558527304943,0.840716,
42.6661037278777,0.826714,
43.0763547252611,0.806583,
43.4866057226446,0.829772,
43.896856720028,0.834378,
44.3071077174115,0.80445,
44.7173587147949,0.828876,
45.1276097121784,0.836794,
45.5378607095618,0.813152,
45.9481117069452,0.829564,
46.3583627043287,0.833601,
46.7686137017121,0.833907,
47.1788646990956,0.812549,
47.589115696479,0.817083,
47.9993666938624,0.817213,
48.4096176912459,0.815876,
48.8198686886293,0.852286,
49.2301196860127,0.804493,
49.6403706833962,0.828706,
50.0506216807796,0.831427,
50.4608726781631,0.855757,
50.8711236755465,0.786045,
51.2813746729299,0.830355,
51.6916256703134,0.829986,
52.1018766676968,0.790386,
52.5121276650803,0.839467,
52.9223786624637,0.833501,
53.3326296598471,0.806808,
53.7428806572306,0.871566,
54.153131654614,0.848156,
54.5633826519975,0.806552,
54.9736336493809,0.799185,
55.3838846467643,0.83857,
55.7941356441478,0.817748,
56.2043866415312,0.789311,
56.6146376389147,0.822033,
57.0248886362981,0.823718,
57.4351396336815,0.823264,
57.845390631065,0.78352,
58.2556416284484,0.833757,
58.6658926258319,0.79704,
59.0761436232153,0.800749,
59.4863946205987,0.794867,
59.8966456179822,0.793635,
60.3068966153656,0.849641,
60.7171476127491,0.858924,
61.1273986101325,0.837328,
