Distance (µm),Al Ox%,
0,7.533573,
0.410250997383436,7.539025,
0.820501994766882,7.5201,
1.23075299215032,7.51998,
1.64100398953375,7.496809,
2.0512549869172,7.484087,
2.46150598430064,7.594919,
2.87175698168408,7.54403,
3.28200797906752,7.484137,
3.69225897645096,7.512421,
4.10250997383439,7.608143,
4.51276097121784,7.539775,
4.92301196860127,7.477101,
5.33326296598471,7.513816,
5.74351396336816,7.49453,
6.1537649607516,7.50365,
6.56401595813503,7.497623,
6.97426695551848,7.51139,
7.38451795290191,7.496124,
7.79476895028535,7.551096,
8.2050199476688,7.548001,
8.61527094505223,7.510484,
9.02552194243567,7.494634,
9.4357729398191,7.519691,
9.84602393720255,7.562745,
10.256274934586,7.560555,
10.6665259319694,7.584499,
11.0767769293529,7.584335,
11.4870279267363,7.573391,
11.8972789241197,7.450545,
12.3075299215032,7.538436,
12.7177809188866,7.458817,
13.1280319162701,7.497588,
13.5382829136535,7.498327,
13.9485339110369,7.580472,
14.3587849084204,7.516294,
14.7690359058038,7.531998,
15.1792869031873,7.476298,
15.5895379005707,7.460965,
15.9997888979541,7.543347,
16.4100398953376,7.564847,
16.820290892721,7.544422,
17.2305418901045,7.584513,
17.6407928874879,7.472964,
18.0510438848713,7.469527,
18.4612948822548,7.479602,
18.8715458796382,7.459021,
19.2817968770217,7.584228,
19.6920478744051,7.526816,
20.1022988717885,7.482838,
20.512549869172,7.474216,
20.9228008665554,7.553922,
21.3330518639389,7.595029,
21.7433028613223,7.557287,
22.1535538587057,7.529023,
22.5638048560892,7.499835,
22.9740558534726,7.514141,
23.3843068508561,7.524122,
23.7945578482395,7.578008,
24.2048088456229,7.572165,
24.6150598430064,7.543974,
25.0253108403898,7.486926,
25.4355618377732,7.554094,
25.8458128351567,7.518756,
26.2560638325401,7.47749,
26.6663148299236,7.638416,
27.076565827307,7.530296,
27.4868168246905,7.490443,
27.8970678220739,7.514877,
28.3073188194573,7.520613,
28.7175698168408,7.518368,
29.1278208142242,7.48703,
29.5380718116077,7.43679,
29.9483228089911,7.501663,
30.3585738063745,7.53715,
30.768824803758,7.517733,
31.1790758011414,7.471183,
31.5893267985248,7.530702,
31.9995777959083,7.524323,
32.4098287932917,7.567477,
32.8200797906752,7.446905,
33.2303307880586,7.495691,
33.640581785442,7.563944,
34.0508327828255,7.532469,
34.4610837802089,7.549673,
34.8713347775924,7.539688,
35.2815857749758,7.477753,
35.6918367723593,7.524224,
36.1020877697427,7.55267,
36.5123387671261,7.449669,
36.9225897645096,7.534721,
37.332840761893,7.523828,
37.7430917592764,7.513486,
38.1533427566599,7.438479,
38.5635937540433,7.46244,
38.9738447514268,7.515477,
39.3840957488102,7.409042,
39.7943467461936,7.590044,
40.2045977435771,7.532491,
40.6148487409605,7.523017,
41.025099738344,7.570057,
41.4353507357274,7.536873,
41.8456017331108,7.550425,
42.2558527304943,7.470511,
42.6661037278777,7.534175,
43.0763547252611,7.545,
43.4866057226446,7.470024,
43.896856720028,7.543703,
44.3071077174115,7.483123,
44.7173587147949,7.561185,
45.1276097121784,7.528228,
45.5378607095618,7.542683,
45.9481117069452,7.544401,
46.3583627043287,7.486345,
46.7686137017121,7.497876,
47.1788646990956,7.583928,
47.589115696479,7.41447,
47.9993666938624,7.520373,
48.4096176912459,7.428142,
48.8198686886293,7.390394,
49.2301196860127,7.551049,
49.6403706833962,7.523941,
50.0506216807796,7.501138,
50.4608726781631,7.488486,
50.8711236755465,7.564572,
51.2813746729299,7.51744,
51.6916256703134,7.454107,
52.1018766676968,7.475387,
52.5121276650803,7.45452,
52.9223786624637,7.528457,
53.3326296598471,7.411206,
53.7428806572306,7.47558,
54.153131654614,7.524541,
54.5633826519975,7.536489,
54.9736336493809,7.535704,
55.3838846467643,7.571898,
55.7941356441478,7.572017,
56.2043866415312,7.523106,
56.6146376389147,7.539783,
57.0248886362981,7.54677,
57.4351396336815,7.506796,
57.845390631065,7.528052,
58.2556416284484,7.550045,
58.6658926258319,7.577458,
59.0761436232153,7.56077,
59.4863946205987,7.520586,
59.8966456179822,7.567143,
60.3068966153656,7.513411,
60.7171476127491,7.517486,
61.1273986101325,7.481124,
