Distance (µm),Fe Ox%,
0,14.08991,
1.49926184640665,14.15795,
2.99852369281331,14.29805,
4.49778553921996,14.26859,
5.99704738562663,14.18891,
7.49630923203328,14.17713,
8.99557107843994,14.2157,
10.4948329248466,14.16999,
11.9940947712533,14.14278,
13.4933566176599,14.23068,
14.9926184640666,14.21687,
16.4918803104732,14.23467,
17.9911421568799,14.17879,
19.4904040032865,14.17456,
20.9896658496932,14.2302,
22.4889276960998,14.15693,
23.9881895425065,14.19959,
25.4874513889132,14.02725,
26.9867132353198,9.667238,
28.4859750817265,4.694124,
29.9852369281331,12.50961,
31.4844987745398,14.21197,
32.9837606209464,14.19872,
34.4830224673531,14.12515,
35.9822843137597,14.26939,
37.4815461601664,14.26177,
38.9808080065731,14.37954,
40.4800698529797,14.41107,
41.9793316993864,14.13407,
43.478593545793,14.15498,
44.9778553921997,14.30394,
46.4771172386063,14.19398,
47.976379085013,14.31361,
49.4756409314196,14.16376,
50.9749027778263,14.3396,
52.4741646242329,13.99703,
53.9734264706396,14.06133,
55.4726883170463,14.01598,
56.9719501634529,14.17086,
58.4712120098596,14.26953,
59.9704738562662,14.16007,
61.4697357026729,14.08996,
62.9689975490796,14.18208,
64.4682593954862,14.22592,
65.9675212418929,14.17883,
67.4667830882995,14.24447,
68.9660449347062,14.20218,
70.4653067811128,14.20217,
71.9645686275195,14.24505,
73.4638304739261,14.17667,
74.9630923203328,14.26001,
76.4623541667394,14.21962,
77.9616160131461,14.18837,
79.4608778595528,14.26898,
80.9601397059594,14.2184,
82.4594015523661,14.18375,
83.9586633987727,13.98749,
85.4579252451794,11.236,
86.9571870915861,19.37037,
88.4564489379927,20.87838,
89.9557107843994,20.8696,
91.454972630806,20.92746,
92.9542344772127,20.80918,
94.4534963236193,20.9709,
95.952758170026,21.01894,
97.4520200164326,21.0091,
98.9512818628393,21.0667,
100.450543709246,21.07209,
101.949805555653,21.06703,
103.449067402059,20.9187,
104.948329248466,21.06319,
106.447591094873,21.10121,
107.946852941279,21.17464,
109.446114787686,20.44507,
110.945376634093,7.634688,
112.444638480499,18.28416,
113.943900326906,19.82872,
115.443162173313,17.36378,
116.942424019719,5.957831,
118.441685866126,1.23643,
119.940947712532,1.003005,
121.440209558939,1.615665,
122.939471405346,5.219054,
124.438733251752,6.21402,
125.937995098159,6.019095,
127.437256944566,5.817428,
128.936518790972,2.882786,
130.435780637379,2.914932,
131.935042483786,6.768997,
133.434304330192,6.937304,
134.933566176599,6.967763,
136.432828023006,6.988695,
137.932089869412,6.950206,
139.431351715819,6.953906,
140.930613562226,7.038838,
142.429875408632,6.972667,
143.929137255039,7.030304,
145.428399101446,6.925161,
146.927660947852,6.962024,
148.426922794259,6.978807,
149.926184640666,7.012583,
151.425446487072,6.934904,
152.924708333479,6.911435,
154.423970179886,6.878199,
155.923232026292,6.899651,
157.422493872699,7.03124,
158.921755719106,7.000143,
160.421017565512,6.934369,
161.920279411919,6.947455,
163.419541258325,6.942462,
164.918803104732,6.950394,
166.418064951139,6.937577,
167.917326797545,6.913978,
169.416588643952,6.805853,
170.915850490359,6.915289,
172.415112336765,7.020508,
173.914374183172,7.041612,
175.413636029579,6.948859,
176.912897875985,6.978075,
178.412159722392,6.973131,
179.911421568799,6.968356,
181.410683415205,6.932435,
182.909945261612,6.877922,
184.409207108019,6.964975,
185.908468954425,6.959005,
187.407730800832,6.969196,
188.906992647239,6.96433,
190.406254493645,7.074625,
191.905516340052,7.019269,
193.404778186459,6.915417,
194.904040032865,6.954472,
196.403301879272,6.890598,
197.902563725679,6.98795,
199.401825572085,6.950683,
200.901087418492,6.834327,
