Distance (µm),K Ox%,
0,0.02316,
1.49926184640665,0.01143,
2.99852369281331,-0.000488,
4.49778553921996,0.022781,
5.99704738562663,0.007556,
7.49630923203328,0.030914,
8.99557107843994,-0.008596,
10.4948329248466,0.01188,
11.9940947712533,0.017066,
13.4933566176599,0.01067,
14.9926184640666,0.006016,
16.4918803104732,0.008095,
17.9911421568799,0.003581,
19.4904040032865,0.004804,
20.9896658496932,0.021631,
22.4889276960998,0.000061,
23.9881895425065,0.022679,
25.4874513889132,0.024187,
26.9867132353198,0.062286,
28.4859750817265,0.151088,
29.9852369281331,0.039567,
31.4844987745398,0.016612,
32.9837606209464,0.019089,
34.4830224673531,0.011524,
35.9822843137597,0.020183,
37.4815461601664,0.01747,
38.9808080065731,0.021594,
40.4800698529797,0.018323,
41.9793316993864,0.006669,
43.478593545793,0.003877,
44.9778553921997,0.014416,
46.4771172386063,0.003756,
47.976379085013,0.015418,
49.4756409314196,0.018667,
50.9749027778263,0.015716,
52.4741646242329,0.021068,
53.9734264706396,0.015355,
55.4726883170463,0.014816,
56.9719501634529,0.01136,
58.4712120098596,0.029526,
59.9704738562662,0.022469,
61.4697357026729,-0.011001,
62.9689975490796,0.009972,
64.4682593954862,0.015331,
65.9675212418929,0.018703,
67.4667830882995,0.010874,
68.9660449347062,0.023352,
70.4653067811128,0.03919,
71.9645686275195,0.010397,
73.4638304739261,0.006645,
74.9630923203328,0.017095,
76.4623541667394,0.010564,
77.9616160131461,-0.001479,
79.4608778595528,0.023021,
80.9601397059594,0.020544,
82.4594015523661,0.02775,
83.9586633987727,0.200433,
85.4579252451794,1.996077,
86.9571870915861,0.601711,
88.4564489379927,0.07876,
89.9557107843994,0.021785,
91.454972630806,0.036139,
92.9542344772127,0.024393,
94.4534963236193,0.039984,
95.952758170026,0.017723,
97.4520200164326,0.013655,
98.9512818628393,0.011951,
100.450543709246,0.03521,
101.949805555653,0.031944,
103.449067402059,0.056032,
104.948329248466,-0.000397,
106.447591094873,0.005537,
107.946852941279,0.023394,
109.446114787686,0.285348,
110.945376634093,3.188092,
112.444638480499,0.88057,
113.943900326906,0.34337,
115.443162173313,0.986577,
116.942424019719,2.624572,
118.441685866126,0.863026,
119.940947712532,1.043904,
121.440209558939,0.605795,
122.939471405346,0.333277,
124.438733251752,0.07241,
125.937995098159,0.095714,
127.437256944566,0.458124,
128.936518790972,3.980663,
130.435780637379,4.015308,
131.935042483786,0.489441,
133.434304330192,0.066735,
134.933566176599,0.048627,
136.432828023006,0.041617,
137.932089869412,0.041839,
139.431351715819,0.046443,
140.930613562226,0.021323,
142.429875408632,0.051499,
143.929137255039,0.023451,
145.428399101446,0.031265,
146.927660947852,0.047311,
148.426922794259,0.0388,
149.926184640666,0.045566,
151.425446487072,0.04481,
152.924708333479,0.013495,
154.423970179886,0.049089,
155.923232026292,0.024872,
157.422493872699,0.03592,
158.921755719106,0.020833,
160.421017565512,0.036327,
161.920279411919,0.02853,
163.419541258325,0.015621,
164.918803104732,0.03193,
166.418064951139,0.035451,
167.917326797545,0.055659,
169.416588643952,0.053042,
170.915850490359,0.066652,
172.415112336765,0.035851,
173.914374183172,0.044936,
175.413636029579,0.029381,
176.912897875985,0.046041,
178.412159722392,0.037034,
179.911421568799,0.017458,
181.410683415205,0.025562,
182.909945261612,0.041449,
184.409207108019,0.050322,
185.908468954425,0.035419,
187.407730800832,0.046883,
188.906992647239,0.01244,
190.406254493645,0.0419,
191.905516340052,0.035814,
193.404778186459,0.039491,
194.904040032865,0.037118,
196.403301879272,0.055007,
197.902563725679,0.014317,
199.401825572085,0.060379,
200.901087418492,0.042232,
