Distance (µm),Na Ox%,
0,0.041733,
1.49926184640665,0.111312,
2.99852369281331,0.063792,
4.49778553921996,0.057737,
5.99704738562663,0.045779,
7.49630923203328,0.05523,
8.99557107843994,0.072643,
10.4948329248466,0.080526,
11.9940947712533,0.056809,
13.4933566176599,0.061163,
14.9926184640666,0.045831,
16.4918803104732,0.042782,
17.9911421568799,0.092341,
19.4904040032865,0.040682,
20.9896658496932,0.037302,
22.4889276960998,0.060527,
23.9881895425065,0.114967,
25.4874513889132,0.096317,
26.9867132353198,0.126619,
28.4859750817265,0.24816,
29.9852369281331,0.14507,
31.4844987745398,0.081573,
32.9837606209464,0.059597,
34.4830224673531,0.084636,
35.9822843137597,0.029103,
37.4815461601664,0.032574,
38.9808080065731,0.058035,
40.4800698529797,0.082862,
41.9793316993864,0.06229,
43.478593545793,0.101438,
44.9778553921997,0.037314,
46.4771172386063,0.076319,
47.976379085013,0.050713,
49.4756409314196,0.086711,
50.9749027778263,0.058433,
52.4741646242329,0.078473,
53.9734264706396,0.069728,
55.4726883170463,0.062688,
56.9719501634529,0.09152,
58.4712120098596,0.033263,
59.9704738562662,0.045851,
61.4697357026729,0.098011,
62.9689975490796,0.05805,
64.4682593954862,0.095617,
65.9675212418929,0.076147,
67.4667830882995,0.076694,
68.9660449347062,0.062683,
70.4653067811128,0.079719,
71.9645686275195,0.069587,
73.4638304739261,0.052299,
74.9630923203328,0.087285,
76.4623541667394,0.083731,
77.9616160131461,0.049311,
79.4608778595528,0.098629,
80.9601397059594,0.074363,
82.4594015523661,0.082033,
83.9586633987727,0.409037,
85.4579252451794,2.099809,
86.9571870915861,0.815295,
88.4564489379927,0.108709,
89.9557107843994,0.011548,
91.454972630806,-0.002757,
92.9542344772127,0.032429,
94.4534963236193,0.03789,
95.952758170026,0.008095,
97.4520200164326,0.072237,
98.9512818628393,0.048845,
100.450543709246,-0.003897,
101.949805555653,0.032942,
103.449067402059,0.009361,
104.948329248466,0.028575,
106.447591094873,0.036627,
107.946852941279,0.082676,
109.446114787686,0.435287,
110.945376634093,2.351014,
112.444638480499,0.617397,
113.943900326906,0.142471,
115.443162173313,1.088207,
116.942424019719,4.042122,
118.441685866126,5.736767,
119.940947712532,6.611878,
121.440209558939,3.711009,
122.939471405346,2.828647,
124.438733251752,0.745559,
125.937995098159,0.612577,
127.437256944566,1.265551,
128.936518790972,3.587004,
130.435780637379,3.797396,
131.935042483786,1.524164,
133.434304330192,0.832885,
134.933566176599,0.813955,
136.432828023006,0.819862,
137.932089869412,0.807766,
139.431351715819,0.850125,
140.930613562226,0.833625,
142.429875408632,0.858862,
143.929137255039,0.847455,
145.428399101446,0.830123,
146.927660947852,0.826299,
148.426922794259,0.813668,
149.926184640666,0.847733,
151.425446487072,0.826712,
152.924708333479,0.876046,
154.423970179886,0.831173,
155.923232026292,0.836139,
157.422493872699,0.826207,
158.921755719106,0.811482,
160.421017565512,0.799815,
161.920279411919,0.843155,
163.419541258325,0.818812,
164.918803104732,0.867097,
166.418064951139,0.810545,
167.917326797545,0.860212,
169.416588643952,0.783294,
170.915850490359,0.830902,
172.415112336765,0.818953,
173.914374183172,0.841825,
175.413636029579,0.825373,
176.912897875985,0.873354,
178.412159722392,0.858992,
179.911421568799,0.827918,
181.410683415205,0.815393,
182.909945261612,0.848134,
184.409207108019,0.80817,
185.908468954425,0.818575,
187.407730800832,0.830147,
188.906992647239,0.824871,
190.406254493645,0.828088,
191.905516340052,0.826193,
193.404778186459,0.862865,
194.904040032865,0.834013,
196.403301879272,0.837971,
197.902563725679,0.832687,
199.401825572085,0.814739,
200.901087418492,0.840102,
