Distance (µm),Si Ox%,
0,51.4958,
1.49926184640665,51.61855,
2.99852369281331,51.78339,
4.49778553921996,51.67166,
5.99704738562663,51.74425,
7.49630923203328,51.56366,
8.99557107843994,51.63659,
10.4948329248466,51.71075,
11.9940947712533,51.70801,
13.4933566176599,51.92913,
14.9926184640666,51.62311,
16.4918803104732,51.63287,
17.9911421568799,51.61232,
19.4904040032865,51.68544,
20.9896658496932,51.61835,
22.4889276960998,51.57706,
23.9881895425065,51.6424,
25.4874513889132,51.14795,
26.9867132353198,37.73939,
28.4859750817265,12.14264,
29.9852369281331,48.42276,
31.4844987745398,51.9178,
32.9837606209464,51.49767,
34.4830224673531,51.66834,
35.9822843137597,51.85108,
37.4815461601664,51.57742,
38.9808080065731,51.64233,
40.4800698529797,51.65893,
41.9793316993864,51.66091,
43.478593545793,51.58032,
44.9778553921997,51.55001,
46.4771172386063,51.58303,
47.976379085013,51.72227,
49.4756409314196,51.55204,
50.9749027778263,51.5225,
52.4741646242329,51.28332,
53.9734264706396,51.1732,
55.4726883170463,51.36988,
56.9719501634529,51.6185,
58.4712120098596,51.66763,
59.9704738562662,51.68529,
61.4697357026729,51.79136,
62.9689975490796,51.62938,
64.4682593954862,51.66497,
65.9675212418929,51.71986,
67.4667830882995,51.70855,
68.9660449347062,51.73022,
70.4653067811128,51.77536,
71.9645686275195,51.66683,
73.4638304739261,51.64411,
74.9630923203328,51.68235,
76.4623541667394,51.68372,
77.9616160131461,51.43581,
79.4608778595528,51.74046,
80.9601397059594,51.62597,
82.4594015523661,51.56913,
83.9586633987727,52.42957,
85.4579252451794,53.15442,
86.9571870915861,45.14144,
88.4564489379927,40.05065,
89.9557107843994,38.79284,
91.454972630806,39.26651,
92.9542344772127,39.1016,
94.4534963236193,38.97817,
95.952758170026,38.80154,
97.4520200164326,38.7925,
98.9512818628393,38.77509,
100.450543709246,38.55333,
101.949805555653,38.51127,
103.449067402059,38.64228,
104.948329248466,38.72909,
106.447591094873,38.46093,
107.946852941279,39.05548,
109.446114787686,40.608,
110.945376634093,48.25488,
112.444638480499,42.13333,
113.943900326906,39.70968,
115.443162173313,43.58926,
116.942424019719,54.79167,
118.441685866126,56.05337,
119.940947712532,58.15821,
121.440209558939,43.74242,
122.939471405346,55.41677,
124.438733251752,52.67852,
125.937995098159,53.43689,
127.437256944566,55.07174,
128.936518790972,60.52781,
130.435780637379,60.11592,
131.935042483786,51.63277,
133.434304330192,49.31339,
134.933566176599,49.36079,
136.432828023006,49.29452,
137.932089869412,49.24886,
139.431351715819,49.17802,
140.930613562226,49.22201,
142.429875408632,49.37062,
143.929137255039,49.27177,
145.428399101446,49.30476,
146.927660947852,49.32422,
148.426922794259,49.29564,
149.926184640666,49.23457,
151.425446487072,49.11895,
152.924708333479,49.56433,
154.423970179886,48.96066,
155.923232026292,49.38502,
157.422493872699,49.39979,
158.921755719106,49.18734,
160.421017565512,49.36027,
161.920279411919,49.29652,
163.419541258325,49.24844,
164.918803104732,49.48042,
166.418064951139,49.31027,
167.917326797545,49.30084,
169.416588643952,48.37098,
170.915850490359,49.3548,
172.415112336765,49.29383,
173.914374183172,49.43061,
175.413636029579,49.33174,
176.912897875985,49.27467,
178.412159722392,49.30783,
179.911421568799,49.26608,
181.410683415205,49.32454,
182.909945261612,49.20882,
184.409207108019,49.26516,
185.908468954425,49.3533,
187.407730800832,49.27266,
188.906992647239,49.35258,
190.406254493645,49.21511,
191.905516340052,49.37951,
193.404778186459,49.25753,
194.904040032865,49.31863,
196.403301879272,49.12999,
197.902563725679,49.40282,
199.401825572085,49.38305,
200.901087418492,49.22316,
