-11,24,-19,-17,-36,-43,-44,-20,-18,-65,-49,-5,-26,-7,-92,-41,-29,-16,-3,-11,15,-27,-1,-35,-36,-2,-11,-31,-30,-37,-22,8,-27,-8,-62,-32,-39,-29,-55,-6,-27,-70,-33,8,-20,-11,7,-30,-9,-10,-10,3,-13,-24,-42,-14,-15,-24,-46,-30,3,15,-10,7,-14,-12,-32,-36,4,38,-34,-27,-22,-17,-46,-61,-14,-51,-13,-25,12,-30,-34,-4,-4,-26,9,40,16,-28,-17,12,25,14,-12,-20,-40,-13,-23,-4,1,36,20,10,4,-22,-8,-14,11,24,20,14,-14,8,-6,21,-6,-15,-28,-17,44,13,24,3,11,3,-42,0,
-1,-18,-33,-25,-4,-8,-29,-53,-35,-10,-16,10,-6,-43,-12,-27,-43,-9,-35,0,-24,-7,-45,-47,-33,-48,-9,-36,-28,-5,-15,-8,0,-12,-39,-18,-11,-33,-3,-19,-18,-18,-38,0,18,-65,-11,-11,-52,-10,-19,-20,-15,-13,20,-4,-11,-11,-50,-4,-35,-14,16,-39,-44,-24,9,14,-60,-30,-42,-10,-14,-8,-4,26,10,0,-23,-18,-17,-8,-8,-19,-39,6,-7,35,55,14,-32,-7,6,-17,4,19,-5,7,-1,-22,-17,22,13,0,-3,18,-1,-4,-13,-35,22,-8,-3,13,-2,21,-25,22,9,18,0,-3,15,4,50,19,9,42,
-30,1,-9,19,-8,-35,-8,-41,-8,-19,-17,-23,-4,23,-34,-22,-26,-20,14,-35,-22,-12,-46,-20,-34,-19,12,7,-14,12,-6,-21,-51,30,12,-21,-26,-10,-22,19,0,6,-52,-68,-29,-5,-35,20,-28,-21,-4,-4,-32,-31,-18,-18,-32,-31,-25,-41,-27,-29,15,-55,4,5,10,-38,6,3,5,11,21,0,-19,-14,-32,-11,-9,-9,3,-22,-48,-21,-7,-4,-8,6,-35,7,9,-1,7,5,11,28,31,14,1,-5,4,14,-8,-23,-3,6,6,-8,-23,4,52,-8,10,-6,11,27,13,21,-22,-20,20,13,-6,48,34,19,0,-2,
-40,-34,-57,-6,7,-19,-11,-1,-12,-21,6,-6,-21,29,32,4,-40,-12,4,-21,-52,-11,-26,-3,-23,-10,-2,-15,-39,-17,30,-33,-29,-3,-34,11,-32,-12,-5,0,-4,-28,11,-18,-34,-51,-33,-36,-51,-70,-41,24,-17,9,-41,-13,-37,13,-23,-16,-19,-14,-41,-25,22,-7,29,-17,-29,-5,9,-39,8,-20,-12,-8,-40,-25,-23,-16,-25,6,22,19,-7,40,17,-13,-3,9,20,12,18,25,11,23,-9,-4,7,-18,0,-11,-16,-18,31,-26,8,15,-6,23,12,-2,-34,2,-5,-53,20,-1,5,-4,-41,-11,22,6,-12,10,7,-22,
-10,-34,-21,-25,1,-32,-5,-44,9,12,4,24,-39,-15,9,28,-5,-24,-41,19,13,-5,5,22,5,-24,-6,-7,-9,-4,-4,-35,-11,11,-66,-16,-15,-18,-52,4,-3,-26,-31,-31,-27,-34,6,-49,-40,-15,-16,23,-37,-51,10,-15,-19,-24,-9,11,-30,5,0,-48,-11,-6,-39,22,3,-18,-22,-15,-19,24,-7,-46,-7,0,-42,-36,12,18,5,-9,0,12,-18,3,14,14,9,-20,10,-34,8,21,22,8,-5,24,0,-3,-35,-35,18,8,-22,-22,13,-2,2,6,20,-18,-7,46,-6,-6,49,0,2,4,-18,-37,20,31,9,15,
-42,-27,3,-15,-12,-3,-28,2,-4,-34,-9,-25,-16,-24,-19,2,-3,-24,-37,3,-46,2,-51,-22,-55,0,-20,-57,-11,16,-13,-9,11,-8,-40,-5,-1,-4,2,-30,-38,-36,-26,32,-44,-4,14,5,22,8,-3,14,3,-16,-6,-24,-4,-39,-40,16,-45,-10,-20,-20,-20,-18,2,-46,-7,-33,0,10,-13,-12,-65,3,-38,-37,-47,-3,16,-28,20,6,11,-17,-27,2,59,-15,17,-7,-36,18,10,0,-3,0,-22,14,-25,16,0,23,47,19,-11,25,-10,28,-35,-10,12,14,9,-39,-32,-19,12,28,2,29,-9,3,12,32,23,11,
-9,13,-10,6,-20,-4,-32,-24,-12,-5,-29,4,-57,-28,-26,-16,-12,70,9,-34,-8,-27,-34,-32,22,14,-31,-23,-5,-91,20,2,-52,5,6,1,28,-24,-39,-36,-5,-13,-38,24,-26,32,-7,-29,-15,29,-16,20,-40,-18,-48,-19,-25,-41,14,-21,-11,-20,-6,-33,20,-54,-11,-10,-7,-47,-15,-1,3,-30,-15,-22,-19,-1,-25,43,20,-8,28,-13,-3,-6,-15,-2,48,6,-3,-5,9,-31,30,41,-22,-24,5,10,-17,-19,31,-10,22,-17,-6,-7,-1,-9,13,-3,20,-5,-7,-6,18,-53,15,-23,25,4,25,0,20,0,23,10,
-38,-35,-43,-18,10,-6,17,-56,-20,-19,-28,-26,-41,-26,-31,-17,-27,-18,-29,0,-14,-48,-15,-16,-12,-33,-15,-1,-11,-31,-28,-17,-11,-36,-2,-29,2,-4,-40,-25,-26,-51,-30,-5,7,-10,-21,-21,-10,-31,-12,-15,-2,-12,18,8,-9,-43,-24,-10,-13,39,-45,-67,-48,-17,-29,-19,-33,-11,6,-37,-41,-21,-41,-22,-20,-26,-22,33,24,5,-30,21,-2,11,-9,-6,-1,-24,-12,-10,1,8,4,-3,-37,16,-12,10,-10,-26,-42,20,-6,12,8,4,13,11,6,-28,-12,-19,1,-9,26,15,8,54,18,19,-28,3,4,-9,-23,10,
-16,-26,-13,-52,-37,-9,-43,-16,-5,-24,-45,-4,-36,1,10,-15,-32,-46,-1,24,-62,-15,-14,-10,-33,-16,-27,15,-21,-35,-45,-8,-16,4,-53,-5,-22,-2,-24,-19,12,-22,-33,35,-3,-16,-3,-23,-12,-41,-34,-26,4,-24,-48,-23,-30,-6,-40,-26,18,-19,-47,-15,-31,-11,-24,-7,15,-48,-7,-47,-27,-22,-30,-26,-34,28,8,-7,36,-7,7,25,-7,-2,20,3,15,-13,23,-15,31,21,-4,24,1,-24,-43,0,24,0,30,16,4,-18,-15,11,15,16,10,33,-42,-31,33,4,-1,-15,-28,15,-16,15,4,-14,2,-1,-9,-2,
-3,-11,-22,-46,-5,-12,24,6,-30,-35,-43,-7,-21,33,-27,-16,1,-36,-39,-13,12,-32,-9,-29,-23,-17,-22,-11,-41,4,-31,-15,13,-10,-29,0,-50,-43,-39,-20,-23,1,-23,-4,-45,15,-47,5,-39,-46,-21,-42,-27,-29,-12,2,-53,-20,16,-37,0,-29,-52,-31,2,-50,-15,-19,-4,-22,3,-34,1,-38,-20,8,20,11,-11,13,-3,-15,22,8,-8,17,4,2,-11,14,-10,25,6,7,11,8,0,-20,-3,-5,-23,28,1,-19,-3,3,30,-5,-34,-5,26,7,44,-1,11,2,-39,3,-17,27,-1,-19,-21,-7,-23,26,-17,-7,
