-14,31,27,5,14,6,7,7,10,4,11,25,-7,5,-13,3,22,15,28,12,4,23,-5,16,-3,0,14,23,9,52,16,6,31,12,-11,-9,-5,34,7,35,2,10,-18,28,13,29,1,-10,-7,11,30,-6,-2,7,-5,18,18,-9,5,9,7,-6,-42,-52,5,25,19,28,-2,12,5,24,1,17,4,44,22,8,2,3,10,7,15,-5,-9,2,-4,17,14,23,-6,20,16,7,12,-18,-11,-3,41,30,16,-9,0,8,50,29,-14,-11,0,11,0,-5,-18,24,-14,28,-16,-11,7,-9,-3,46,22,21,-33,-15,11,-14,
16,-11,16,4,26,18,-34,0,3,29,-1,7,21,37,15,27,7,-13,35,-8,12,-11,-11,-3,9,-6,-18,28,13,-11,14,-3,33,10,35,26,22,-10,4,4,25,-11,-12,-10,14,4,15,8,-19,-12,2,0,25,7,-3,8,12,19,24,-4,-5,-12,6,30,7,6,-15,21,30,11,12,14,-16,31,34,10,8,0,24,20,-3,7,19,15,16,6,4,1,-16,-12,21,18,5,-3,-3,16,15,7,-15,32,20,-9,-11,-8,-5,17,4,44,-10,3,-9,-10,7,23,-16,-8,4,-5,-2,28,-10,-8,0,-23,-15,2,3,40,
4,22,22,-6,0,20,-3,-9,34,-26,19,11,-34,14,26,-12,8,6,-1,9,7,-21,-6,11,17,10,29,21,23,-17,-3,25,1,-6,-11,-12,7,-18,20,17,12,5,-9,12,19,-5,-23,12,17,10,6,0,4,16,10,-9,2,-15,4,-12,-6,8,16,32,16,-38,28,12,-5,-6,20,2,11,-15,2,-1,-11,16,11,24,-4,-10,-5,24,49,2,1,-3,2,-1,16,22,1,-1,-16,-11,-5,-17,27,-12,32,-1,14,17,-6,21,35,5,-20,-20,31,-10,22,18,2,-4,10,-12,13,8,7,4,10,38,-2,26,-3,-26,
4,-14,7,14,1,18,-13,7,-9,-8,-7,-18,24,10,-6,18,-4,28,25,-6,11,25,24,-25,13,-26,15,-19,-6,-4,-12,27,-4,15,-28,-6,11,4,-8,25,37,10,2,18,16,5,23,25,10,-24,-8,6,14,20,16,7,16,19,-8,-3,8,-15,1,3,-6,-13,-3,-6,13,19,-2,20,8,-10,16,1,1,21,9,1,-4,6,13,-21,-20,18,11,10,34,-12,-1,1,15,9,-10,19,-14,3,-10,-7,-4,5,3,26,10,3,-14,30,-10,7,-15,-1,15,-6,-12,-12,-8,21,0,14,-13,53,15,28,20,23,2,15,
43,-14,-2,8,-13,16,24,37,13,-18,-24,25,24,-8,-35,-2,-12,-8,18,39,1,-4,8,4,7,21,28,0,-7,32,-2,0,31,31,-10,3,-24,13,6,17,10,-23,22,9,2,16,1,1,21,-5,18,0,35,-24,13,13,19,9,2,-15,-5,-36,-1,-22,0,-4,-17,11,9,19,12,18,-19,15,34,-3,-1,-5,-4,8,15,-18,26,-10,-11,22,23,-14,25,-36,28,25,36,8,23,7,8,8,-24,-14,0,-28,33,-2,-23,4,-2,39,26,26,2,27,0,-8,10,19,15,20,7,-5,15,33,42,3,14,34,14,-10,
6,11,7,34,3,3,2,8,22,26,-22,17,-6,-4,-13,-39,-2,-25,-18,14,4,18,21,-15,11,1,-5,18,-3,12,29,30,48,-15,31,2,-3,17,6,5,11,-11,5,-4,28,5,6,20,-33,18,1,-10,-5,40,7,37,14,27,9,-26,4,29,-5,7,28,3,6,24,9,2,14,20,-3,-19,-3,-10,5,39,19,-4,20,20,11,8,31,-5,11,-8,15,-13,11,34,20,-5,-3,25,28,26,-14,-4,9,17,5,17,19,33,17,5,8,5,9,26,25,6,-4,25,15,-9,35,-1,15,18,31,-17,-6,9,29,3,
16,8,28,1,-24,-9,5,5,-18,24,23,-14,2,0,13,11,-5,6,-9,8,9,17,-13,21,5,-18,-13,9,8,20,23,-21,25,1,6,9,8,3,5,9,-2,-17,17,-4,23,18,14,6,22,12,-17,3,20,-9,10,27,4,7,12,43,2,-8,-10,-36,17,-17,27,17,4,-35,23,2,20,0,1,-6,17,-4,21,-10,2,4,34,-8,3,0,5,0,9,8,1,0,-10,-1,23,11,-2,25,4,21,-30,-9,-37,-4,-1,-11,3,24,0,30,30,7,6,9,-22,-5,11,-9,-32,-31,15,6,11,1,-14,20,14,18,
26,-13,-13,-9,-21,7,11,12,49,20,16,49,48,13,1,3,-1,-5,-4,4,5,0,-3,1,24,-10,34,30,35,-3,30,30,0,-30,-14,6,3,-6,-14,-4,17,-2,30,28,12,-2,32,1,15,11,12,-9,18,2,17,40,-15,-10,9,18,-24,12,-7,38,24,10,3,-20,2,-13,3,13,-4,13,8,34,35,19,9,20,1,10,-4,13,-3,-8,13,3,21,1,7,44,-6,-12,6,32,-21,22,-11,-10,-12,22,29,13,-11,-15,-22,-4,34,16,6,18,19,36,13,29,4,24,6,-12,18,26,-13,20,-3,10,-17,16,
14,-23,6,8,16,18,-37,6,2,-10,7,31,7,15,-3,-9,10,27,14,-16,29,-14,13,-23,34,26,-35,-11,16,18,8,5,3,12,3,21,-1,28,-3,15,-10,16,8,8,-16,3,-5,22,13,5,-4,-12,21,8,-3,2,27,9,-6,3,-4,0,7,-12,12,-15,21,9,13,6,23,18,12,-3,6,35,-16,22,7,29,19,-15,5,11,-10,18,0,6,15,5,-13,-22,26,-11,-4,-8,3,18,6,-4,30,-5,-7,31,11,14,-7,-35,15,25,19,11,15,10,-17,26,-17,35,44,-3,36,29,4,-11,30,5,-1,10,
19,-27,7,-9,47,-26,8,25,-21,-33,6,6,-1,13,11,-10,12,-7,25,30,1,-13,-10,4,11,0,-11,20,25,-7,3,-30,46,10,-11,9,41,20,5,3,30,-5,-5,9,19,-10,0,3,9,12,1,15,16,1,15,0,12,-1,-18,-11,28,11,26,12,18,12,8,24,-1,3,4,-9,-9,0,5,18,-35,3,32,17,9,-2,24,11,35,-2,29,-11,10,18,-9,-32,30,-6,0,-8,-21,10,-9,6,16,-34,-15,11,33,21,7,-12,-34,1,2,30,10,4,29,0,-14,-8,-17,-3,-6,35,-3,-5,9,11,-7,8,
