Distance (µm),Ca Ox%,
0,24.96655,
0.887227942343051,24.87407,
1.7744558846861,24.93899,
2.66168382702915,24.82558,
3.5489117693722,24.88511,
4.43613971171525,24.88971,
5.3233676540583,25.02015,
6.21059559640135,24.92505,
7.09782353874439,24.99562,
7.98505148108745,24.87538,
8.8722794234305,25.09398,
9.75950736577355,24.86828,
10.6467353081166,24.82755,
11.5339632504596,24.55273,
12.4211911928027,24.86302,
13.3084191351457,24.88645,
14.1956470774888,24.85675,
15.0828750198319,24.94841,
15.9701029621749,24.82215,
16.8573309045179,24.8996,
17.744558846861,24.86606,
18.631786789204,24.90894,
19.5190147315471,24.96897,
20.4062426738902,24.90527,
21.2934706162332,24.97969,
22.1806985585762,24.96328,
23.0679265009193,24.99212,
23.9551544432623,24.95035,
24.8423823856054,25.01872,
25.7296103279484,24.8056,
26.6168382702915,24.96012,
27.5040662126345,24.72376,
28.3912941549776,24.87889,
29.2785220973207,24.89996,
30.1657500396637,24.8006,
31.0529779820067,24.94366,
31.9402059243498,25.02421,
32.8274338666928,24.99811,
33.7146618090359,25.03996,
34.6018897513789,24.90396,
35.489117693722,24.75977,
36.376345636065,24.89236,
37.2635735784081,24.93769,
38.1508015207512,24.95491,
39.0380294630942,25.03802,
39.9252574054373,24.94897,
40.8124853477803,24.90531,
41.6997132901233,24.87423,
42.5869412324664,24.92409,
43.4741691748094,24.86991,
44.3613971171525,24.88089,
45.2486250594955,24.72226,
46.1358530018386,24.79223,
47.0230809441816,24.85231,
47.9103088865247,24.89222,
48.7975368288677,24.94496,
49.6847647712108,24.9149,
50.5719927135538,24.95003,
51.4592206558969,24.96698,
52.3464485982399,24.82164,
53.233676540583,24.93345,
54.120904482926,24.9188,
55.0081324252691,24.77712,
55.8953603676121,24.95614,
56.7825883099552,24.85691,
57.6698162522982,24.81765,
58.5570441946413,24.96982,
59.4442721369843,24.87035,
60.3315000793274,24.93383,
61.2187280216704,24.84194,
62.1059559640135,24.84681,
62.9931839063565,24.92895,
63.8804118486996,24.92542,
64.7676397910426,24.95308,
65.6548677333857,24.98952,
66.5420956757287,24.9341,
67.4293236180718,24.94135,
68.3165515604148,24.90938,
69.2037795027579,24.96726,
70.0910074451009,25.0265,
70.978235387444,24.95864,
71.865463329787,24.80749,
72.7526912721301,24.89745,
73.6399192144731,24.89748,
74.5271471568162,24.88078,
75.4143750991592,24.84945,
76.3016030415023,24.8345,
77.1888309838453,24.93801,
78.0760589261884,24.88916,
78.9632868685315,24.86107,
79.8505148108745,24.80596,
80.7377427532175,24.79866,
81.6249706955606,24.79173,
82.5121986379037,24.84534,
83.3994265802467,24.89895,
84.2866545225897,24.9498,
85.1738824649328,24.89655,
86.0611104072758,24.83346,
86.9483383496189,24.98866,
87.8355662919619,24.95485,
88.722794234305,24.92037,
89.610022176648,24.91359,
90.4972501189911,24.8292,
91.3844780613341,25.06548,
92.2717060036772,24.98783,
93.1589339460202,24.88673,
94.0461618883633,24.98569,
94.9333898307063,24.87846,
95.8206177730494,24.92789,
96.7078457153924,24.88163,
97.5950736577355,24.96271,
98.4823016000785,24.83977,
99.3695295424216,24.83072,
100.256757484765,24.92451,
101.143985427108,24.84919,
102.031213369451,24.94733,
102.918441311794,24.95132,
103.805669254137,24.86575,
104.69289719648,24.81573,
105.580125138823,24.90037,
106.467353081166,24.98111,
107.354581023509,24.83308,
108.241808965852,24.95173,
109.129036908195,24.95555,
110.016264850538,24.62424,
110.903492792881,24.55076,
111.790720735224,24.60632,
112.677948677567,24.77142,
113.56517661991,24.685,
114.452404562253,24.76072,
115.339632504596,24.75761,
116.22686044694,24.70471,
117.114088389283,24.74147,
118.001316331626,24.78422,
118.888544273969,24.81815,
119.775772216312,24.70163,
120.663000158655,24.75628,
121.550228100998,24.7665,
122.437456043341,24.73117,
123.324683985684,24.77913,
124.211911928027,24.91903,
125.09913987037,24.81535,
125.986367812713,24.83738,
126.873595755056,24.89038,
127.760823697399,24.82621,
128.648051639742,24.94222,
129.535279582085,24.87925,
130.422507524428,24.90745,
131.309735466771,24.80872,
132.196963409114,25.01644,
