Distance (µm),Al Ox%,
0,0.578256,
0.887227942343051,0.597919,
1.7744558846861,0.639319,
2.66168382702915,0.611162,
3.5489117693722,0.645163,
4.43613971171525,0.577244,
5.3233676540583,0.580243,
6.21059559640135,0.61234,
7.09782353874439,0.590938,
7.98505148108745,0.564096,
8.8722794234305,0.602294,
9.75950736577355,0.599376,
10.6467353081166,0.570666,
11.5339632504596,0.577364,
12.4211911928027,0.603595,
13.3084191351457,0.595999,
14.1956470774888,0.6096,
15.0828750198319,0.636256,
15.9701029621749,0.635801,
16.8573309045179,0.603348,
17.744558846861,0.597501,
18.631786789204,0.592883,
19.5190147315471,0.600999,
20.4062426738902,0.64314,
21.2934706162332,0.576987,
22.1806985585762,0.578399,
23.0679265009193,0.541369,
23.9551544432623,0.571465,
24.8423823856054,0.581798,
25.7296103279484,0.620687,
26.6168382702915,0.595987,
27.5040662126345,0.558018,
28.3912941549776,0.640458,
29.2785220973207,0.601268,
30.1657500396637,0.618207,
31.0529779820067,0.61213,
31.9402059243498,0.607533,
32.8274338666928,0.619316,
33.7146618090359,0.574207,
34.6018897513789,0.569203,
35.489117693722,0.638712,
36.376345636065,0.631447,
37.2635735784081,0.557468,
38.1508015207512,0.593451,
39.0380294630942,0.584316,
39.9252574054373,0.60147,
40.8124853477803,0.567665,
41.6997132901233,0.628487,
42.5869412324664,0.626133,
43.4741691748094,0.625825,
44.3613971171525,0.57764,
45.2486250594955,0.630116,
46.1358530018386,0.59039,
47.0230809441816,0.573442,
47.9103088865247,0.572699,
48.7975368288677,0.575153,
49.6847647712108,0.62135,
50.5719927135538,0.62538,
51.4592206558969,0.611021,
52.3464485982399,0.591918,
53.233676540583,0.61654,
54.120904482926,0.55085,
55.0081324252691,0.593824,
55.8953603676121,0.594048,
56.7825883099552,0.581603,
57.6698162522982,0.591557,
58.5570441946413,0.619591,
59.4442721369843,0.590311,
60.3315000793274,0.609103,
61.2187280216704,0.602377,
62.1059559640135,0.605475,
62.9931839063565,0.593077,
63.8804118486996,0.59645,
64.7676397910426,0.622268,
65.6548677333857,0.5874,
66.5420956757287,0.600734,
67.4293236180718,0.599022,
68.3165515604148,0.603275,
69.2037795027579,0.600186,
70.0910074451009,0.609322,
70.978235387444,0.628977,
71.865463329787,0.623763,
72.7526912721301,0.590485,
73.6399192144731,0.626702,
74.5271471568162,0.627034,
75.4143750991592,0.620789,
76.3016030415023,0.585075,
77.1888309838453,0.599807,
78.0760589261884,0.581809,
78.9632868685315,0.590869,
79.8505148108745,0.627215,
80.7377427532175,0.629783,
81.6249706955606,0.597566,
82.5121986379037,0.605696,
83.3994265802467,0.600205,
84.2866545225897,0.620407,
85.1738824649328,0.597111,
86.0611104072758,0.613424,
86.9483383496189,0.63119,
87.8355662919619,0.603282,
88.722794234305,0.60802,
89.610022176648,0.659387,
90.4972501189911,0.619477,
91.3844780613341,0.598699,
92.2717060036772,0.618055,
93.1589339460202,0.57807,
94.0461618883633,0.624859,
94.9333898307063,0.62618,
95.8206177730494,0.621636,
96.7078457153924,0.582666,
97.5950736577355,0.618982,
98.4823016000785,0.625948,
99.3695295424216,0.566658,
100.256757484765,0.609906,
101.143985427108,0.597411,
102.031213369451,0.585288,
102.918441311794,0.620625,
103.805669254137,0.571933,
104.69289719648,0.628308,
105.580125138823,0.594096,
106.467353081166,0.616483,
107.354581023509,0.592634,
108.241808965852,0.612667,
109.129036908195,0.599893,
110.016264850538,0.596919,
110.903492792881,0.577209,
111.790720735224,0.606713,
112.677948677567,0.60735,
113.56517661991,0.60146,
114.452404562253,0.584404,
115.339632504596,0.602582,
116.22686044694,0.582868,
117.114088389283,0.582887,
118.001316331626,0.600018,
118.888544273969,0.612002,
119.775772216312,0.559984,
120.663000158655,0.611148,
121.550228100998,0.614312,
122.437456043341,0.559145,
123.324683985684,0.600326,
124.211911928027,0.55215,
125.09913987037,0.567816,
125.986367812713,0.546138,
126.873595755056,0.503284,
127.760823697399,0.527261,
128.648051639742,0.501287,
129.535279582085,0.453085,
130.422507524428,0.485016,
131.309735466771,0.490587,
132.196963409114,0.492036,
