Distance (µm),K Ox%,
0,0.033934,
0.887227942343051,0.037519,
1.7744558846861,0.065277,
2.66168382702915,0.009637,
3.5489117693722,0.040459,
4.43613971171525,0.03928,
5.3233676540583,0.056422,
6.21059559640135,0.043271,
7.09782353874439,0.042035,
7.98505148108745,0.032749,
8.8722794234305,0.032409,
9.75950736577355,0.034198,
10.6467353081166,0.026457,
11.5339632504596,0.050834,
12.4211911928027,0.029692,
13.3084191351457,0.078478,
14.1956470774888,0.037243,
15.0828750198319,0.035069,
15.9701029621749,0.028899,
16.8573309045179,0.061177,
17.744558846861,0.042514,
18.631786789204,0.046102,
19.5190147315471,0.03864,
20.4062426738902,0.038661,
21.2934706162332,0.029099,
22.1806985585762,0.042921,
23.0679265009193,0.049381,
23.9551544432623,0.052564,
24.8423823856054,0.03711,
25.7296103279484,0.051883,
26.6168382702915,0.031992,
27.5040662126345,0.052842,
28.3912941549776,0.04717,
29.2785220973207,0.061279,
30.1657500396637,0.036197,
31.0529779820067,0.037918,
31.9402059243498,0.056126,
32.8274338666928,0.066357,
33.7146618090359,0.041174,
34.6018897513789,0.021005,
35.489117693722,0.043975,
36.376345636065,0.046718,
37.2635735784081,0.053418,
38.1508015207512,0.029601,
39.0380294630942,0.024999,
39.9252574054373,0.043899,
40.8124853477803,0.04318,
41.6997132901233,0.061252,
42.5869412324664,0.053492,
43.4741691748094,0.042422,
44.3613971171525,0.046153,
45.2486250594955,0.034099,
46.1358530018386,0.02028,
47.0230809441816,0.024267,
47.9103088865247,0.049786,
48.7975368288677,0.026248,
49.6847647712108,0.029743,
50.5719927135538,0.023573,
51.4592206558969,0.032391,
52.3464485982399,0.05403,
53.233676540583,0.034871,
54.120904482926,0.030032,
55.0081324252691,0.041191,
55.8953603676121,0.01281,
56.7825883099552,0.044871,
57.6698162522982,0.057132,
58.5570441946413,0.036774,
59.4442721369843,0.032839,
60.3315000793274,0.041253,
61.2187280216704,0.04266,
62.1059559640135,0.048713,
62.9931839063565,0.047894,
63.8804118486996,0.050954,
64.7676397910426,0.071212,
65.6548677333857,0.046381,
66.5420956757287,0.041479,
67.4293236180718,0.040293,
68.3165515604148,0.037503,
69.2037795027579,0.033147,
70.0910074451009,0.044625,
70.978235387444,0.028319,
71.865463329787,0.058038,
72.7526912721301,0.046829,
73.6399192144731,0.035965,
74.5271471568162,0.048628,
75.4143750991592,0.048062,
76.3016030415023,0.038198,
77.1888309838453,0.045523,
78.0760589261884,0.049722,
78.9632868685315,0.03769,
79.8505148108745,0.037465,
80.7377427532175,0.056936,
81.6249706955606,0.031668,
82.5121986379037,0.019405,
83.3994265802467,0.040228,
84.2866545225897,0.046935,
85.1738824649328,0.029994,
86.0611104072758,0.033476,
86.9483383496189,0.02593,
87.8355662919619,0.033849,
88.722794234305,0.040834,
89.610022176648,0.046848,
90.4972501189911,0.039732,
91.3844780613341,0.054499,
92.2717060036772,0.041141,
93.1589339460202,0.055273,
94.0461618883633,0.01334,
94.9333898307063,0.013336,
95.8206177730494,0.031125,
96.7078457153924,0.035868,
97.5950736577355,0.046721,
98.4823016000785,0.042262,
99.3695295424216,0.040534,
100.256757484765,0.053218,
101.143985427108,0.040895,
102.031213369451,0.044787,
102.918441311794,0.020081,
103.805669254137,0.037052,
104.69289719648,0.024681,
105.580125138823,0.039055,
106.467353081166,0.04118,
107.354581023509,0.027817,
108.241808965852,0.052942,
109.129036908195,0.040314,
110.016264850538,0.045684,
110.903492792881,0.017123,
111.790720735224,0.049278,
112.677948677567,0.048046,
113.56517661991,0.041603,
114.452404562253,0.030891,
115.339632504596,0.027497,
116.22686044694,0.054339,
117.114088389283,0.042529,
118.001316331626,0.029882,
118.888544273969,0.05742,
119.775772216312,0.056229,
120.663000158655,0.026544,
121.550228100998,0.041124,
122.437456043341,0.033557,
123.324683985684,0.031774,
124.211911928027,0.022356,
125.09913987037,0.041573,
125.986367812713,0.036191,
126.873595755056,0.046486,
127.760823697399,0.03919,
128.648051639742,0.044426,
129.535279582085,0.028518,
130.422507524428,0.030576,
131.309735466771,0.049291,
132.196963409114,0.039635,
