Distance (µm),Ti Ox%,
0,0.008113,
0.887227942343051,0.038376,
1.7744558846861,0.029137,
2.66168382702915,0.015576,
3.5489117693722,0.022581,
4.43613971171525,0.036936,
5.3233676540583,-0.02003,
6.21059559640135,0.031535,
7.09782353874439,-0.007158,
7.98505148108745,0.034642,
8.8722794234305,0.001039,
9.75950736577355,-0.003331,
10.6467353081166,-0.010373,
11.5339632504596,0.008448,
12.4211911928027,0.009844,
13.3084191351457,-0.015021,
14.1956470774888,0.013444,
15.0828750198319,0.029406,
15.9701029621749,0.027469,
16.8573309045179,0.022753,
17.744558846861,0.007048,
18.631786789204,0.017432,
19.5190147315471,0.047086,
20.4062426738902,0.0343,
21.2934706162332,-0.009427,
22.1806985585762,0.016831,
23.0679265009193,0.011175,
23.9551544432623,0.008944,
24.8423823856054,-0.007042,
25.7296103279484,0.021504,
26.6168382702915,-0.004532,
27.5040662126345,0.008555,
28.3912941549776,0.03444,
29.2785220973207,0.021932,
30.1657500396637,0.021407,
31.0529779820067,0.035731,
31.9402059243498,-0.010808,
32.8274338666928,0.03287,
33.7146618090359,0.050879,
34.6018897513789,0.000833,
35.489117693722,0.043072,
36.376345636065,0.016097,
37.2635735784081,0.032882,
38.1508015207512,0.046986,
39.0380294630942,0.044699,
39.9252574054373,0.010106,
40.8124853477803,0.006305,
41.6997132901233,0.019823,
42.5869412324664,0.052863,
43.4741691748094,0.050238,
44.3613971171525,0.01484,
45.2486250594955,-0.003507,
46.1358530018386,0.007591,
47.0230809441816,-0.008049,
47.9103088865247,0.035881,
48.7975368288677,0.015358,
49.6847647712108,0.027596,
50.5719927135538,0.004648,
51.4592206558969,0.025928,
52.3464485982399,0.022534,
53.233676540583,0.006114,
54.120904482926,0.01333,
55.0081324252691,0.03513,
55.8953603676121,0.011233,
56.7825883099552,0.031837,
57.6698162522982,0.035612,
58.5570441946413,0.031836,
59.4442721369843,0.015837,
60.3315000793274,0.023949,
61.2187280216704,-0.001093,
62.1059559640135,0.020876,
62.9931839063565,0.012793,
63.8804118486996,0.007927,
64.7676397910426,0.023352,
65.6548677333857,0.012382,
66.5420956757287,0.043672,
67.4293236180718,0.018473,
68.3165515604148,0.05188,
69.2037795027579,0.029306,
70.0910074451009,0.0287,
70.978235387444,0.036444,
71.865463329787,0.014974,
72.7526912721301,0.004425,
73.6399192144731,0.016476,
74.5271471568162,0.023546,
75.4143750991592,0.013205,
76.3016030415023,-0.005184,
77.1888309838453,0.041468,
78.0760589261884,0.004179,
78.9632868685315,0.012743,
79.8505148108745,0.04979,
80.7377427532175,0.008542,
81.6249706955606,-0.030104,
82.5121986379037,-0.016771,
83.3994265802467,0.007797,
84.2866545225897,0.050678,
85.1738824649328,0.004183,
86.0611104072758,0.041846,
86.9483383496189,-0.00412,
87.8355662919619,0.02416,
88.722794234305,-0.008567,
89.610022176648,0.000305,
90.4972501189911,-0.002824,
91.3844780613341,0.011602,
92.2717060036772,0.046165,
93.1589339460202,0.032512,
94.0461618883633,0.01243,
94.9333898307063,0.004278,
95.8206177730494,0.00732,
96.7078457153924,0.015892,
97.5950736577355,0.007853,
98.4823016000785,-0.004943,
99.3695295424216,0.017941,
100.256757484765,0.028184,
101.143985427108,-0.008442,
102.031213369451,-0.003874,
102.918441311794,0.023974,
103.805669254137,0.050141,
104.69289719648,0.01392,
105.580125138823,0.036567,
106.467353081166,0.027907,
107.354581023509,-0.000232,
108.241808965852,-0.000497,
109.129036908195,0.025601,
110.016264850538,0.052524,
110.903492792881,0.019914,
111.790720735224,0.02891,
112.677948677567,0.030313,
113.56517661991,0.033994,
114.452404562253,0.014818,
115.339632504596,0.006931,
116.22686044694,0.012279,
117.114088389283,0.045655,
118.001316331626,0.043163,
118.888544273969,0.016359,
119.775772216312,0.038792,
120.663000158655,0.001276,
121.550228100998,0.026068,
122.437456043341,0.02032,
123.324683985684,0.018752,
124.211911928027,0.036273,
125.09913987037,0.006304,
125.986367812713,-0.005913,
126.873595755056,0.010123,
127.760823697399,0.023869,
128.648051639742,0.012323,
129.535279582085,0.045035,
130.422507524428,0.030727,
131.309735466771,0.004504,
132.196963409114,-0.008598,
