Distance (µm),Na Ox%,
0,0.412463,
0.887227942343051,0.416593,
1.7744558846861,0.417442,
2.66168382702915,0.41331,
3.5489117693722,0.4237,
4.43613971171525,0.419438,
5.3233676540583,0.413213,
6.21059559640135,0.438111,
7.09782353874439,0.405479,
7.98505148108745,0.45688,
8.8722794234305,0.403317,
9.75950736577355,0.355261,
10.6467353081166,0.420065,
11.5339632504596,0.416655,
12.4211911928027,0.413326,
13.3084191351457,0.429958,
14.1956470774888,0.402996,
15.0828750198319,0.392749,
15.9701029621749,0.42563,
16.8573309045179,0.398407,
17.744558846861,0.399236,
18.631786789204,0.38469,
19.5190147315471,0.39476,
20.4062426738902,0.416376,
21.2934706162332,0.400066,
22.1806985585762,0.419037,
23.0679265009193,0.441795,
23.9551544432623,0.430904,
24.8423823856054,0.400486,
25.7296103279484,0.385262,
26.6168382702915,0.418297,
27.5040662126345,0.396593,
28.3912941549776,0.437124,
29.2785220973207,0.422255,
30.1657500396637,0.425039,
31.0529779820067,0.42256,
31.9402059243498,0.446166,
32.8274338666928,0.432051,
33.7146618090359,0.395365,
34.6018897513789,0.439549,
35.489117693722,0.4021,
36.376345636065,0.42346,
37.2635735784081,0.394394,
38.1508015207512,0.463123,
39.0380294630942,0.41622,
39.9252574054373,0.416988,
40.8124853477803,0.435297,
41.6997132901233,0.419527,
42.5869412324664,0.418077,
43.4741691748094,0.43089,
44.3613971171525,0.416294,
45.2486250594955,0.427329,
46.1358530018386,0.416545,
47.0230809441816,0.420602,
47.9103088865247,0.409793,
48.7975368288677,0.431374,
49.6847647712108,0.429428,
50.5719927135538,0.389673,
51.4592206558969,0.446656,
52.3464485982399,0.395581,
53.233676540583,0.427282,
54.120904482926,0.401759,
55.0081324252691,0.393534,
55.8953603676121,0.428829,
56.7825883099552,0.419351,
57.6698162522982,0.444654,
58.5570441946413,0.438061,
59.4442721369843,0.426595,
60.3315000793274,0.401137,
61.2187280216704,0.435596,
62.1059559640135,0.423698,
62.9931839063565,0.453582,
63.8804118486996,0.422613,
64.7676397910426,0.42289,
65.6548677333857,0.414874,
66.5420956757287,0.440164,
67.4293236180718,0.443166,
68.3165515604148,0.409428,
69.2037795027579,0.452213,
70.0910074451009,0.419139,
70.978235387444,0.433754,
71.865463329787,0.422057,
72.7526912721301,0.401724,
73.6399192144731,0.416926,
74.5271471568162,0.442689,
75.4143750991592,0.401041,
76.3016030415023,0.388782,
77.1888309838453,0.458192,
78.0760589261884,0.399959,
78.9632868685315,0.422863,
79.8505148108745,0.433056,
80.7377427532175,0.394674,
81.6249706955606,0.429786,
82.5121986379037,0.410815,
83.3994265802467,0.412363,
84.2866545225897,0.424018,
85.1738824649328,0.429402,
86.0611104072758,0.435976,
86.9483383496189,0.413449,
87.8355662919619,0.403165,
88.722794234305,0.399973,
89.610022176648,0.41694,
90.4972501189911,0.432021,
91.3844780613341,0.389969,
92.2717060036772,0.427436,
93.1589339460202,0.423837,
94.0461618883633,0.444155,
94.9333898307063,0.432218,
95.8206177730494,0.402392,
96.7078457153924,0.409255,
97.5950736577355,0.4196,
98.4823016000785,0.439627,
99.3695295424216,0.40414,
100.256757484765,0.403977,
101.143985427108,0.456905,
102.031213369451,0.444766,
102.918441311794,0.414707,
103.805669254137,0.40467,
104.69289719648,0.427262,
105.580125138823,0.433198,
106.467353081166,0.43799,
107.354581023509,0.432897,
108.241808965852,0.478036,
109.129036908195,0.41114,
110.016264850538,0.439808,
110.903492792881,0.4549,
111.790720735224,0.437825,
112.677948677567,0.452028,
113.56517661991,0.437008,
114.452404562253,0.425842,
115.339632504596,0.432239,
116.22686044694,0.42457,
117.114088389283,0.457586,
118.001316331626,0.419948,
118.888544273969,0.44603,
119.775772216312,0.447424,
120.663000158655,0.431663,
121.550228100998,0.437079,
122.437456043341,0.425926,
123.324683985684,0.417306,
124.211911928027,0.411753,
125.09913987037,0.432257,
125.986367812713,0.410098,
126.873595755056,0.420933,
127.760823697399,0.413283,
128.648051639742,0.389928,
129.535279582085,0.372853,
130.422507524428,0.372356,
131.309735466771,0.390697,
132.196963409114,0.396961,
