Distance (µm),Mg Ox%,
0,17.73472,
0.887227942343051,17.73826,
1.7744558846861,17.73821,
2.66168382702915,17.66883,
3.5489117693722,17.74472,
4.43613971171525,17.60629,
5.3233676540583,17.75337,
6.21059559640135,17.67993,
7.09782353874439,17.60118,
7.98505148108745,17.70127,
8.8722794234305,17.65607,
9.75950736577355,17.6046,
10.6467353081166,17.62181,
11.5339632504596,17.65635,
12.4211911928027,17.76599,
13.3084191351457,17.71793,
14.1956470774888,17.74208,
15.0828750198319,17.69111,
15.9701029621749,17.72602,
16.8573309045179,17.64377,
17.744558846861,17.72436,
18.631786789204,17.73626,
19.5190147315471,17.75844,
20.4062426738902,17.63271,
21.2934706162332,17.66378,
22.1806985585762,17.73161,
23.0679265009193,17.77973,
23.9551544432623,17.79328,
24.8423823856054,17.70445,
25.7296103279484,17.6983,
26.6168382702915,17.63066,
27.5040662126345,17.76888,
28.3912941549776,17.62529,
29.2785220973207,17.566,
30.1657500396637,17.59408,
31.0529779820067,17.68726,
31.9402059243498,17.80415,
32.8274338666928,17.69394,
33.7146618090359,17.68985,
34.6018897513789,17.78751,
35.489117693722,17.75354,
36.376345636065,17.71448,
37.2635735784081,17.74523,
38.1508015207512,17.69083,
39.0380294630942,17.71046,
39.9252574054373,17.77735,
40.8124853477803,17.7781,
41.6997132901233,17.7703,
42.5869412324664,17.72898,
43.4741691748094,17.68358,
44.3613971171525,17.73435,
45.2486250594955,17.60182,
46.1358530018386,17.65662,
47.0230809441816,17.67879,
47.9103088865247,17.64637,
48.7975368288677,17.73311,
49.6847647712108,17.83236,
50.5719927135538,17.77441,
51.4592206558969,17.7026,
52.3464485982399,17.71728,
53.233676540583,17.71103,
54.120904482926,17.78679,
55.0081324252691,17.76396,
55.8953603676121,17.71227,
56.7825883099552,17.68357,
57.6698162522982,17.74432,
58.5570441946413,17.71054,
59.4442721369843,17.75237,
60.3315000793274,17.77823,
61.2187280216704,17.84638,
62.1059559640135,17.70954,
62.9931839063565,17.80725,
63.8804118486996,17.79444,
64.7676397910426,17.70311,
65.6548677333857,17.76126,
66.5420956757287,17.75615,
67.4293236180718,17.75926,
68.3165515604148,17.68258,
69.2037795027579,17.79167,
70.0910074451009,17.78813,
70.978235387444,17.83539,
71.865463329787,17.79935,
72.7526912721301,17.81211,
73.6399192144731,17.78349,
74.5271471568162,17.83759,
75.4143750991592,17.81919,
76.3016030415023,17.86444,
77.1888309838453,17.80463,
78.0760589261884,17.73221,
78.9632868685315,17.6832,
79.8505148108745,17.71136,
80.7377427532175,17.78166,
81.6249706955606,17.69041,
82.5121986379037,17.69046,
83.3994265802467,17.77167,
84.2866545225897,17.67141,
85.1738824649328,17.76657,
86.0611104072758,17.72522,
86.9483383496189,17.67235,
87.8355662919619,17.79999,
88.722794234305,17.7106,
89.610022176648,17.69892,
90.4972501189911,17.75501,
91.3844780613341,17.7329,
92.2717060036772,17.75303,
93.1589339460202,17.77663,
94.0461618883633,17.74423,
94.9333898307063,17.80448,
95.8206177730494,17.70101,
96.7078457153924,17.7958,
97.5950736577355,17.68156,
98.4823016000785,17.76413,
99.3695295424216,17.72623,
100.256757484765,17.84715,
101.143985427108,17.75287,
102.031213369451,17.79839,
102.918441311794,17.93624,
103.805669254137,17.76933,
104.69289719648,17.64116,
105.580125138823,17.61574,
106.467353081166,17.65085,
107.354581023509,17.5868,
108.241808965852,17.64993,
109.129036908195,17.5216,
110.016264850538,17.44285,
110.903492792881,17.41741,
111.790720735224,17.34641,
112.677948677567,17.31083,
113.56517661991,17.43366,
114.452404562253,17.452,
115.339632504596,17.61246,
116.22686044694,17.63862,
117.114088389283,17.66595,
118.001316331626,17.67812,
118.888544273969,17.56565,
119.775772216312,17.62975,
120.663000158655,17.48595,
121.550228100998,17.64005,
122.437456043341,17.63078,
123.324683985684,17.53214,
124.211911928027,17.62919,
125.09913987037,17.68075,
125.986367812713,17.70757,
126.873595755056,17.7201,
127.760823697399,17.74516,
128.648051639742,17.75952,
129.535279582085,17.83526,
130.422507524428,17.82043,
131.309735466771,17.80216,
132.196963409114,17.71602,
