Distance (µm),Si Ox%,
0,55.51566,
0.887227942343051,55.32013,
1.7744558846861,55.50701,
2.66168382702915,55.37098,
3.5489117693722,55.62285,
4.43613971171525,55.39679,
5.3233676540583,55.44529,
6.21059559640135,55.54128,
7.09782353874439,55.53302,
7.98505148108745,55.4864,
8.8722794234305,55.65261,
9.75950736577355,55.37342,
10.6467353081166,55.2533,
11.5339632504596,55.0791,
12.4211911928027,55.42838,
13.3084191351457,55.53115,
14.1956470774888,55.52385,
15.0828750198319,55.54218,
15.9701029621749,55.39701,
16.8573309045179,55.41608,
17.744558846861,55.48207,
18.631786789204,55.62447,
19.5190147315471,55.45449,
20.4062426738902,55.42187,
21.2934706162332,55.49707,
22.1806985585762,55.55793,
23.0679265009193,55.57219,
23.9551544432623,55.71265,
24.8423823856054,55.59686,
25.7296103279484,55.34644,
26.6168382702915,55.29579,
27.5040662126345,55.44524,
28.3912941549776,55.4497,
29.2785220973207,55.24543,
30.1657500396637,55.20426,
31.0529779820067,55.30807,
31.9402059243498,55.55498,
32.8274338666928,55.67118,
33.7146618090359,55.51765,
34.6018897513789,55.59524,
35.489117693722,55.57719,
36.376345636065,55.46936,
37.2635735784081,55.59013,
38.1508015207512,55.58688,
39.0380294630942,55.49292,
39.9252574054373,55.60002,
40.8124853477803,55.38915,
41.6997132901233,55.50896,
42.5869412324664,55.63919,
43.4741691748094,55.51619,
44.3613971171525,55.39235,
45.2486250594955,55.4656,
46.1358530018386,55.40609,
47.0230809441816,55.41186,
47.9103088865247,55.50246,
48.7975368288677,55.59314,
49.6847647712108,55.5989,
50.5719927135538,55.48924,
51.4592206558969,55.54879,
52.3464485982399,55.6627,
53.233676540583,55.55494,
54.120904482926,55.58869,
55.0081324252691,55.4148,
55.8953603676121,55.49836,
56.7825883099552,55.36297,
57.6698162522982,55.59426,
58.5570441946413,55.5942,
59.4442721369843,55.47839,
60.3315000793274,55.65258,
61.2187280216704,55.61696,
62.1059559640135,55.53726,
62.9931839063565,55.61357,
63.8804118486996,55.6963,
64.7676397910426,55.39662,
65.6548677333857,55.6133,
66.5420956757287,55.55194,
67.4293236180718,55.64545,
68.3165515604148,55.65104,
69.2037795027579,55.69474,
70.0910074451009,55.5204,
70.978235387444,55.69165,
71.865463329787,55.43027,
72.7526912721301,55.60992,
73.6399192144731,55.63476,
74.5271471568162,55.71988,
75.4143750991592,55.55521,
76.3016030415023,55.53496,
77.1888309838453,55.5485,
78.0760589261884,55.43602,
78.9632868685315,55.59761,
79.8505148108745,55.5094,
80.7377427532175,55.49727,
81.6249706955606,55.4857,
82.5121986379037,55.5193,
83.3994265802467,55.61684,
84.2866545225897,55.49775,
85.1738824649328,55.6405,
86.0611104072758,55.57684,
86.9483383496189,55.48952,
87.8355662919619,55.47701,
88.722794234305,55.61904,
89.610022176648,55.46313,
90.4972501189911,55.35062,
91.3844780613341,55.56316,
92.2717060036772,55.66465,
93.1589339460202,55.6284,
94.0461618883633,55.80593,
94.9333898307063,55.61454,
95.8206177730494,55.6825,
96.7078457153924,55.54199,
97.5950736577355,55.60963,
98.4823016000785,55.53446,
99.3695295424216,55.45354,
100.256757484765,55.6174,
101.143985427108,55.5298,
102.031213369451,55.56308,
102.918441311794,55.62157,
103.805669254137,55.39852,
104.69289719648,55.51094,
105.580125138823,55.6677,
106.467353081166,55.71306,
107.354581023509,55.56738,
108.241808965852,55.4655,
109.129036908195,55.43533,
110.016264850538,55.06953,
110.903492792881,55.05112,
111.790720735224,55.08715,
112.677948677567,55.1076,
113.56517661991,55.1357,
114.452404562253,55.37916,
115.339632504596,55.34187,
116.22686044694,55.30149,
117.114088389283,55.27504,
118.001316331626,55.56613,
118.888544273969,55.33246,
119.775772216312,55.39841,
120.663000158655,55.39364,
121.550228100998,55.33887,
122.437456043341,55.37229,
123.324683985684,55.44603,
124.211911928027,55.29838,
125.09913987037,55.53255,
125.986367812713,55.44582,
126.873595755056,55.50461,
127.760823697399,55.53898,
128.648051639742,55.50761,
129.535279582085,55.27682,
130.422507524428,55.39271,
131.309735466771,55.54427,
132.196963409114,55.31309,
