8,0,-10,42,-9,-17,24,22,28,16,29,9,35,2,-6,3,2,-38,-4,-14,-2,-24,-11,-2,24,-28,13,31,-10,-7,1,44,33,10,33,-3,-15,3,14,2,21,24,18,22,23,51,22,51,-16,20,15,8,3,-9,-9,3,-10,0,2,9,10,-9,-3,24,49,-27,-11,32,-8,-28,-2,36,-11,-19,-13,2,6,44,-18,-18,-9,25,13,23,11,-10,2,-10,-18,-15,-7,-7,-5,20,-8,-6,-39,6,13,-5,-12,-19,18,-1,9,17,41,43,-2,-20,-13,24,3,3,-16,-10,-31,-31,-39,-43,-11,13,30,19,15,-2,24,34,
44,9,26,-6,-8,16,9,-40,19,-17,22,27,-7,12,15,-12,51,-2,40,1,15,-1,-4,12,-11,12,-14,-22,18,24,29,-5,1,-9,15,-6,21,15,-1,20,-34,31,27,38,57,-18,-7,31,9,58,47,0,11,15,-7,-35,24,-21,32,-3,7,31,14,14,-6,-8,15,-14,0,-17,13,14,11,2,5,8,-11,13,4,5,22,30,-29,5,15,-9,-30,-6,14,-3,-28,-28,-24,-3,-12,64,14,-2,2,14,50,-18,29,12,-13,4,12,-25,34,29,-12,-9,4,31,8,34,-10,30,-38,-26,38,29,-30,11,5,25,11,-31,
-7,51,-26,2,-20,5,43,12,25,8,5,9,37,-41,9,-3,9,31,-5,13,24,-18,-21,23,9,-21,-15,-30,-2,-27,-30,11,15,12,4,32,-22,25,12,8,26,3,28,0,-36,-27,34,-17,9,25,29,-30,39,9,-4,13,-7,-2,45,-15,20,2,-26,-5,35,21,62,16,21,13,-18,-8,-27,-16,-16,9,-6,3,23,-8,-14,-9,30,15,8,-5,31,19,4,17,28,-6,34,25,12,16,-9,-22,-3,15,-10,-9,-22,-18,35,40,6,24,8,28,-17,-31,-18,14,-11,21,-15,-2,-10,-16,-21,-22,23,-3,-26,-19,-17,-1,
21,-4,-20,19,10,13,-14,22,5,-19,63,14,-28,28,-27,-20,7,44,-16,8,41,-3,33,36,26,9,29,31,22,24,49,-2,-12,26,-18,-34,4,-17,-3,16,-1,-12,21,39,-11,-2,1,11,-9,-15,8,-7,37,27,41,0,-2,15,-20,-9,29,-26,-7,31,-21,19,43,20,-9,-8,41,26,60,7,20,30,41,4,28,10,-25,-22,-10,4,-8,-1,3,-16,8,-36,-2,-26,-19,-46,-1,-11,-33,-13,-20,15,38,19,8,-49,-5,18,-7,-12,-38,26,-6,-1,8,-14,0,20,-6,-14,50,2,-27,1,-1,-35,-2,-11,-7,-8,
-21,17,6,-3,41,-7,-26,-14,-9,-6,25,25,-5,35,-15,-2,-9,2,24,9,-9,-20,39,15,-21,30,17,-1,-25,18,1,-19,13,-31,38,19,22,-15,2,25,12,17,-13,16,-10,20,1,33,12,-16,-8,-26,33,28,36,-12,20,40,5,30,19,-12,-14,-34,-5,2,-19,0,34,50,29,-16,22,5,23,12,-10,-3,-14,20,-21,-24,-48,-24,27,27,45,25,3,-46,19,-42,-19,3,5,-32,11,10,-5,-12,-42,18,-24,14,-58,47,-40,3,45,-27,13,-3,-5,-26,28,-54,5,0,-25,17,-7,36,-5,-18,-23,14,-12,28,
25,54,52,17,7,16,-6,-20,17,16,34,12,9,-10,17,11,21,36,-19,27,19,24,21,18,29,18,69,-21,-6,22,25,-18,-9,38,-11,18,-18,40,3,-10,56,-8,30,4,24,13,21,23,11,22,0,22,16,-12,41,12,-14,30,-7,24,-22,-44,-10,45,28,17,-19,-23,24,27,-4,22,-6,-2,11,-11,37,26,20,16,42,9,-8,42,-7,25,10,18,13,28,-26,-14,-21,-4,16,9,-13,-6,-34,3,-16,3,13,0,29,-26,0,-14,-1,10,-8,1,6,-44,2,-14,28,2,32,-15,6,53,24,-28,-10,-29,-43,-20,
-7,-10,-7,-11,38,18,-29,10,34,15,-10,27,-23,0,11,15,-22,-1,19,14,-14,-5,-10,-8,29,17,-15,40,26,4,-5,-1,22,1,1,25,10,19,-2,41,-1,24,9,60,-5,14,20,-5,-3,-3,-4,-29,28,57,-2,-13,-10,-12,41,42,14,-27,-11,-15,3,41,6,8,32,20,5,-16,-29,29,14,33,-6,-1,-10,-20,18,-56,-21,17,52,-10,-24,8,14,37,-30,12,11,-16,-5,13,15,-40,3,48,11,-41,-2,-7,-15,-34,-2,16,-40,-23,-19,-4,16,4,-21,20,-3,28,-29,1,-5,-2,39,-8,-22,23,19,3,
-19,52,14,-22,-2,0,-4,25,12,11,-27,19,-23,-4,-14,50,4,52,10,9,26,53,33,-9,19,30,25,8,10,2,-5,-14,28,4,28,1,-2,-23,-4,0,6,0,-16,50,-15,-11,14,6,-3,23,-20,25,-11,25,6,-11,-10,30,33,11,22,19,27,30,12,4,30,-20,-5,17,4,12,35,26,-39,-12,-5,3,-26,9,-17,23,16,59,30,33,5,20,2,-24,-23,-22,-5,-29,-16,-30,-8,-14,-25,-13,-15,-25,17,13,-30,-27,-29,-29,7,-9,19,27,38,2,5,-20,-47,-11,37,-12,30,17,18,9,-30,-16,2,15,
12,42,24,-16,-32,-8,28,-14,8,20,26,-6,67,-17,29,-10,-5,28,22,-9,2,-41,55,40,9,21,-8,28,-3,13,28,10,-8,27,-19,43,-6,28,-6,7,-31,-5,5,4,12,14,10,3,-38,13,18,20,-1,-8,30,-12,-28,69,1,-13,12,34,48,33,19,-29,9,29,-20,3,39,13,5,1,-39,18,-31,4,33,-42,44,15,-2,-3,-27,-22,7,-14,-17,-27,42,-13,1,21,7,-21,26,-7,-14,1,-24,16,3,38,-6,28,-8,-28,-39,-30,16,-47,18,-7,-1,2,-31,19,4,10,18,-21,-14,12,-17,1,18,-5,
-31,42,28,10,-3,23,-6,28,21,-5,-5,0,42,16,5,-18,-28,-29,-5,15,-13,-10,5,-6,6,-11,-14,0,36,-2,55,-12,17,-22,33,5,29,-12,4,45,16,28,15,4,-1,31,10,14,-7,30,25,5,14,31,2,37,6,27,41,-10,3,-17,15,59,8,-23,38,-4,-23,42,9,26,-9,-3,14,9,-10,-42,-1,-1,17,41,8,11,-31,-49,-29,0,-40,1,-14,-20,-27,-20,-23,20,-16,-11,49,-4,13,-28,6,19,-24,20,6,6,-38,-31,13,-10,16,-12,2,-4,-29,36,8,5,8,-38,-16,-13,-29,-3,-28,-2,
