Distance (µm),Cr Ox%,
0,0.075206,
1.24154089941974,0.071016,
2.48308179883947,0.045026,
3.72462269825922,0.026865,
4.96616359767896,0.054826,
6.20770449709869,0.047354,
7.44924539651843,0.052103,
8.69078629593818,0.073927,
9.93232719535791,0.030793,
11.1738680947776,0.066755,
12.4154089941974,0.092543,
13.6569498936171,0.043005,
14.8984907930369,0.044302,
16.1400316924566,0.042629,
17.3815725918764,0.067643,
18.6231134912961,0.075559,
19.8646543907158,0.011253,
21.1061952901356,0.058574,
22.3477361895553,0.09788,
23.589277088975,0.026742,
24.8308179883948,0.027735,
26.0723588878145,0.02638,
27.3138997872342,0.048388,
28.555440686654,0.08762,
29.7969815860737,0.074418,
31.0385224854935,0.039753,
32.2800633849132,0.058037,
33.521604284333,0.0494,
34.7631451837527,0.063296,
36.0046860831724,0.053684,
37.2462269825922,0.052594,
38.4877678820119,0.079152,
39.7293087814316,0.045549,
40.9708496808514,0.058951,
42.2123905802711,0.056872,
43.4539314796909,0.063212,
44.6954723791106,0.028845,
45.9370132785303,0.081939,
47.1785541779501,0.082888,
48.4200950773698,0.092886,
49.6616359767895,0.045017,
50.9031768762093,0.054435,
52.144717775629,0.064891,
53.3862586750488,0.055588,
54.6277995744685,0.065407,
55.8693404738882,0.062928,
57.110881373308,0.056542,
58.3524222727277,0.046014,
59.5939631721475,0.068036,
60.8355040715672,0.049427,
62.077044970987,0.057085,
63.3185858704067,0.026497,
64.5601267698264,0.050204,
65.8016676692462,0.051749,
67.0432085686659,0.091478,
68.2847494680856,0.042424,
69.5262903675054,0.08072,
70.7678312669251,0.059662,
72.0093721663448,0.038702,
73.2509130657646,0.064497,
74.4924539651843,0.055665,
75.7339948646041,0.049699,
76.9755357640238,0.075773,
78.2170766634435,0.069209,
79.4586175628633,0.063896,
80.700158462283,0.031289,
81.9416993617028,0.085228,
83.1832402611225,-0.010497,
84.4247811605423,-0.006464,
85.666322059962,0.020885,
86.9078629593817,0.009116,
88.1494038588015,-0.013305,
89.3909447582212,0.020512,
90.6324856576409,0.005325,
91.8740265570607,0.001785,
93.1155674564804,0.006378,
94.3571083559002,0.027766,
95.5986492553199,-0.008043,
96.8401901547397,-0.009934,
98.0817310541594,-0.023552,
99.3232719535791,-0.015561,
100.564812852999,0.031965,
101.806353752419,0.037734,
103.047894651838,0.013419,
104.289435551258,0.012613,
105.530976450678,0.011265,
106.772517350098,0.035286,
108.014058249517,0.034964,
109.255599148937,0.070216,
110.497140048357,-0.00771,
111.738680947776,0.047031,
112.980221847196,0.011845,
114.221762746616,0.004322,
115.463303646036,0.024178,
116.704844545455,-0.033855,
117.946385444875,0.052614,
119.187926344295,0.034619,
120.429467243715,0.230927,
121.671008143134,0.129347,
122.912549042554,0.054947,
124.154089941974,0.085179,
125.395630841394,0.06976,
126.637171740813,0.01041,
127.878712640233,0.075484,
129.120253539653,0.052983,
130.361794439073,0.061617,
131.603335338492,0.056949,
132.844876237912,0.06977,
134.086417137332,0.074953,
135.327958036752,0.038459,
136.569498936171,0.065348,
137.811039835591,0.056242,
139.052580735011,0.071046,
140.29412163443,0.059595,
141.53566253385,0.084245,
142.77720343327,0.08224,
144.01874433269,0.035228,
145.260285232109,0.100231,
146.501826131529,0.031255,
147.743367030949,0.049708,
148.984907930369,0.047564,
150.226448829788,0.043217,
151.467989729208,0.048333,
152.709530628628,0.074685,
153.951071528048,0.054026,
155.192612427467,0.024781,
156.434153326887,0.04797,
157.675694226307,0.065674,
158.917235125727,0.0701,
160.158776025146,0.009054,
161.400316924566,0.048811,
162.641857823986,0.066419,
163.883398723406,0.085134,
165.124939622825,0.079216,
166.366480522245,0.079858,
167.608021421665,0.050609,
168.849562321084,0.022537,
170.091103220504,0.045878,
171.332644119924,0.050098,
172.574185019344,0.057614,
173.815725918763,0.057338,
175.057266818183,0.036754,
176.298807717603,0.046157,
177.540348617023,0.018397,
178.781889516442,0.067198,
180.023430415862,0.083049,
181.264971315282,0.069555,
182.506512214702,0.081461,
183.748053114121,0.040966,
184.989594013541,0.071919,
