Distance (µm),Ca Ox%,
0,0.973946,
1.24154089941974,0.982759,
2.48308179883947,0.961845,
3.72462269825922,1.172374,
4.96616359767896,0.987361,
6.20770449709869,0.952416,
7.44924539651843,1.018845,
8.69078629593818,0.970989,
9.93232719535791,0.954667,
11.1738680947776,0.946324,
12.4154089941974,0.943632,
13.6569498936171,1.038484,
14.8984907930369,0.92449,
16.1400316924566,0.939583,
17.3815725918764,0.980893,
18.6231134912961,0.991924,
19.8646543907158,0.967787,
21.1061952901356,0.985211,
22.3477361895553,0.971692,
23.589277088975,0.945237,
24.8308179883948,0.767097,
26.0723588878145,0.411138,
27.3138997872342,0.848205,
28.555440686654,0.96685,
29.7969815860737,1.023808,
31.0385224854935,0.948346,
32.2800633849132,0.968637,
33.521604284333,1.010638,
34.7631451837527,0.972313,
36.0046860831724,0.971942,
37.2462269825922,0.964524,
38.4877678820119,1.561277,
39.7293087814316,0.98785,
40.9708496808514,0.9787,
42.2123905802711,1.20417,
43.4539314796909,1.114329,
44.6954723791106,0.97106,
45.9370132785303,0.972078,
47.1785541779501,0.963702,
48.4200950773698,0.95959,
49.6616359767895,0.980753,
50.9031768762093,0.997425,
52.144717775629,0.963331,
53.3862586750488,0.983172,
54.6277995744685,0.993912,
55.8693404738882,0.95914,
57.110881373308,0.980147,
58.3524222727277,1.016789,
59.5939631721475,0.978673,
60.8355040715672,1.004192,
62.077044970987,0.953025,
63.3185858704067,0.961896,
64.5601267698264,0.954724,
65.8016676692462,0.996271,
67.0432085686659,1.024458,
68.2847494680856,0.997693,
69.5262903675054,0.959423,
70.7678312669251,0.978053,
72.0093721663448,0.958449,
73.2509130657646,0.985145,
74.4924539651843,0.961668,
75.7339948646041,0.984915,
76.9755357640238,0.964199,
78.2170766634435,0.964135,
79.4586175628633,0.986472,
80.700158462283,0.979461,
81.9416993617028,0.999699,
83.1832402611225,1.017818,
84.4247811605423,1.022971,
85.666322059962,0.948852,
86.9078629593817,0.981733,
88.1494038588015,1.034207,
89.3909447582212,1.035541,
90.6324856576409,1.02679,
91.8740265570607,1.007729,
93.1155674564804,1.012512,
94.3571083559002,1.039721,
95.5986492553199,1.048275,
96.8401901547397,1.079335,
98.0817310541594,0.964708,
99.3232719535791,0.855221,
100.564812852999,0.523429,
101.806353752419,0.289481,
103.047894651838,0.235848,
104.289435551258,0.218779,
105.530976450678,0.251664,
106.772517350098,0.265234,
108.014058249517,0.345388,
109.255599148937,0.442937,
110.497140048357,0.500566,
111.738680947776,0.44727,
112.980221847196,0.874432,
114.221762746616,2.333896,
115.463303646036,4.166938,
116.704844545455,3.708532,
117.946385444875,3.831183,
119.187926344295,5.620388,
120.429467243715,13.07276,
121.671008143134,19.22431,
122.912549042554,19.62754,
124.154089941974,19.86943,
125.395630841394,19.72519,
126.637171740813,19.79009,
127.878712640233,19.92707,
129.120253539653,20.02143,
130.361794439073,19.94727,
131.603335338492,19.95776,
132.844876237912,19.99596,
134.086417137332,19.97771,
135.327958036752,19.93271,
136.569498936171,20.02838,
137.811039835591,19.9015,
139.052580735011,20.00471,
140.29412163443,19.92855,
141.53566253385,19.93206,
142.77720343327,19.97487,
144.01874433269,19.9041,
145.260285232109,19.70093,
146.501826131529,19.97432,
147.743367030949,19.9155,
148.984907930369,19.80986,
150.226448829788,19.40668,
151.467989729208,19.88169,
152.709530628628,19.96354,
153.951071528048,20.05323,
155.192612427467,19.9676,
156.434153326887,19.93314,
157.675694226307,19.99505,
158.917235125727,19.98889,
160.158776025146,19.98468,
161.400316924566,20.05459,
162.641857823986,20.08281,
163.883398723406,20.05489,
165.124939622825,20.02195,
166.366480522245,20.03913,
167.608021421665,20.04603,
168.849562321084,20.03279,
170.091103220504,19.9945,
171.332644119924,20.01594,
172.574185019344,20.03312,
173.815725918763,20.04608,
175.057266818183,20.00852,
176.298807717603,20.03387,
177.540348617023,20.03284,
178.781889516442,20.05069,
180.023430415862,20.00698,
181.264971315282,20.03749,
182.506512214702,20.03257,
183.748053114121,20.06756,
184.989594013541,19.9462,
