Distance (µm),Mn Ox%,
0,0.226906,
1.24154089941974,0.227659,
2.48308179883947,0.217601,
3.72462269825922,0.215248,
4.96616359767896,0.236012,
6.20770449709869,0.235164,
7.44924539651843,0.222248,
8.69078629593818,0.231009,
9.93232719535791,0.216018,
11.1738680947776,0.221907,
12.4154089941974,0.225494,
13.6569498936171,0.257069,
14.8984907930369,0.228863,
16.1400316924566,0.198277,
17.3815725918764,0.212196,
18.6231134912961,0.237281,
19.8646543907158,0.211161,
21.1061952901356,0.243392,
22.3477361895553,0.207883,
23.589277088975,0.250803,
24.8308179883948,0.143919,
26.0723588878145,0.08454,
27.3138997872342,0.150407,
28.555440686654,0.222618,
29.7969815860737,0.248416,
31.0385224854935,0.232427,
32.2800633849132,0.224583,
33.521604284333,0.226975,
34.7631451837527,0.220895,
36.0046860831724,0.196288,
37.2462269825922,0.230396,
38.4877678820119,0.224458,
39.7293087814316,0.215141,
40.9708496808514,0.195156,
42.2123905802711,0.23163,
43.4539314796909,0.1896,
44.6954723791106,0.234981,
45.9370132785303,0.231487,
47.1785541779501,0.18638,
48.4200950773698,0.219153,
49.6616359767895,0.223811,
50.9031768762093,0.242091,
52.144717775629,0.230161,
53.3862586750488,0.22594,
54.6277995744685,0.231394,
55.8693404738882,0.212697,
57.110881373308,0.239485,
58.3524222727277,0.220921,
59.5939631721475,0.209444,
60.8355040715672,0.210096,
62.077044970987,0.217493,
63.3185858704067,0.231318,
64.5601267698264,0.228036,
65.8016676692462,0.249475,
67.0432085686659,0.218641,
68.2847494680856,0.204335,
69.5262903675054,0.209976,
70.7678312669251,0.218464,
72.0093721663448,0.189237,
73.2509130657646,0.219017,
74.4924539651843,0.195924,
75.7339948646041,0.222918,
76.9755357640238,0.20254,
78.2170766634435,0.204661,
79.4586175628633,0.278329,
80.700158462283,0.178987,
81.9416993617028,0.229218,
83.1832402611225,0.146752,
84.4247811605423,0.008774,
85.666322059962,0.010085,
86.9078629593817,0.002607,
88.1494038588015,0.022666,
89.3909447582212,0.032733,
90.6324856576409,0.031858,
91.8740265570607,0.03003,
93.1155674564804,0.03643,
94.3571083559002,0.041677,
95.5986492553199,0.025964,
96.8401901547397,0.007426,
98.0817310541594,0.010398,
99.3232719535791,0.063574,
100.564812852999,0.185088,
101.806353752419,0.333399,
103.047894651838,0.309164,
104.289435551258,0.299012,
105.530976450678,0.322385,
106.772517350098,0.327315,
108.014058249517,0.278451,
109.255599148937,0.217826,
110.497140048357,0.167572,
111.738680947776,0.280316,
112.980221847196,0.31723,
114.221762746616,0.194617,
115.463303646036,-0.004193,
116.704844545455,0.03748,
117.946385444875,0.020124,
119.187926344295,0.048098,
120.429467243715,0.076762,
121.671008143134,0.141154,
122.912549042554,0.147063,
124.154089941974,0.145938,
125.395630841394,0.139479,
126.637171740813,0.14534,
127.878712640233,0.13822,
129.120253539653,0.159104,
130.361794439073,0.175608,
131.603335338492,0.147112,
132.844876237912,0.10455,
134.086417137332,0.138174,
135.327958036752,0.154603,
136.569498936171,0.165602,
137.811039835591,0.146759,
139.052580735011,0.138171,
140.29412163443,0.144463,
141.53566253385,0.128486,
142.77720343327,0.149756,
144.01874433269,0.132422,
145.260285232109,0.155593,
146.501826131529,0.151428,
147.743367030949,0.132367,
148.984907930369,0.163679,
150.226448829788,0.158302,
151.467989729208,0.129199,
152.709530628628,0.147295,
153.951071528048,0.136939,
155.192612427467,0.124955,
156.434153326887,0.123082,
157.675694226307,0.144945,
158.917235125727,0.135154,
160.158776025146,0.166532,
161.400316924566,0.16957,
162.641857823986,0.127034,
163.883398723406,0.142383,
165.124939622825,0.110705,
166.366480522245,0.143471,
167.608021421665,0.14373,
168.849562321084,0.171484,
170.091103220504,0.156519,
171.332644119924,0.181385,
172.574185019344,0.147011,
173.815725918763,0.155691,
175.057266818183,0.151832,
176.298807717603,0.112934,
177.540348617023,0.157629,
178.781889516442,0.126656,
180.023430415862,0.134189,
181.264971315282,0.152533,
182.506512214702,0.088532,
183.748053114121,0.140894,
184.989594013541,0.148109,
