Distance (µm),Na Ox%,
0,0.803066,
1.01497113167711,0.827559,
2.02994226335424,0.819108,
3.04491339503135,0.841968,
4.05988452670847,0.827747,
5.07485565838559,0.828548,
6.08982679006271,0.813934,
7.10479792173982,0.830913,
8.11976905341694,0.847367,
9.13474018509407,0.833011,
10.1497113167712,0.858308,
11.1646824484483,0.82425,
12.1796535801254,0.836416,
13.1946247118025,0.80461,
14.2095958434797,0.83869,
15.2245669751568,0.828408,
16.2395381068339,0.817627,
17.254509238511,0.79861,
18.2694803701881,0.82026,
19.2844515018652,0.764147,
20.2994226335423,0.824882,
21.3143937652195,0.817352,
22.3293648968966,0.792595,
23.3443360285737,0.828338,
24.3593071602508,0.834584,
25.3742782919279,0.819064,
26.3892494236051,0.764484,
27.4042205552822,0.725231,
28.4191916869593,0.835579,
29.4341628186364,0.802806,
30.4491339503135,0.823976,
31.4641050819907,0.809644,
32.4790762136678,0.841178,
33.4940473453449,0.854767,
34.509018477022,0.820067,
35.5239896086991,0.878444,
36.5389607403762,0.839548,
37.5539318720533,0.82358,
38.5689030037305,0.81271,
39.5838741354076,0.789021,
40.5988452670847,0.815032,
41.6138163987618,0.834315,
42.6287875304389,0.799583,
43.6437586621161,0.86385,
44.6587297937932,0.828126,
45.6737009254703,0.814103,
46.6886720571474,0.87118,
47.7036431888245,0.830409,
48.7186143205016,0.829203,
49.7335854521788,0.831017,
50.7485565838559,0.806121,
51.763527715533,0.782246,
52.7784988472101,0.803446,
53.7934699788872,0.86782,
54.8084411105643,0.811336,
55.8234122422415,0.854249,
56.8383833739186,0.805852,
57.8533545055957,0.819102,
58.8683256372728,0.818298,
59.8832967689499,0.848603,
60.8982679006271,0.812129,
61.9132390323042,0.809307,
62.9282101639813,0.874596,
63.9431812956584,1.109366,
64.9581524273355,1.517201,
65.9731235590126,1.651352,
66.9880946906898,2.385917,
68.0030658223669,4.058026,
69.018036954044,4.014503,
70.0330080857211,6.152741,
71.0479792173983,5.188194,
72.0629503490754,6.025672,
73.0779214807525,7.762626,
74.0928926124296,7.096597,
75.1078637441067,6.348228,
76.1228348757839,5.033711,
77.137806007461,3.979939,
78.1527771391381,2.749887,
79.1677482708152,1.723142,
80.1827194024923,0.803675,
81.1976905341694,0.119899,
82.2126616658465,0.030561,
83.2276327975237,0.038831,
84.2426039292008,0.033954,
85.2575750608779,0.016761,
86.272546192555,0.055814,
87.2875173242321,0.064585,
88.3024884559093,0.270448,
89.3174595875864,0.808148,
90.3324307192635,2.035478,
91.3474018509406,3.89557,
92.3623729826177,4.360137,
93.3773441142948,4.244935,
94.392315245972,3.759134,
95.4072863776491,3.141949,
96.4222575093262,2.696657,
97.4372286410033,2.51036,
98.4521997726804,2.478445,
99.4671709043576,2.400023,
100.482142036035,2.10701,
101.497113167712,1.886806,
102.512084299389,1.703813,
103.527055431066,1.558527,
104.542026562743,1.281766,
105.55699769442,1.154213,
106.571968826097,1.013226,
107.586939957775,1.184179,
108.601911089452,2.56998,
109.616882221129,3.504231,
110.631853352806,3.202205,
111.646824484483,2.150374,
112.66179561616,1.614313,
113.676766747837,1.320987,
114.691737879514,0.512156,
115.706709011191,0.138092,
116.721680142869,0.033692,
117.736651274546,0.038596,
118.751622406223,0.062708,
119.7665935379,0.10577,
120.781564669577,0.072347,
121.796535801254,0.09596,
122.811506932931,0.052861,
123.826478064608,0.093101,
124.841449196286,0.059152,
125.856420327963,0.054349,
126.87139145964,0.051391,
127.886362591317,0.055403,
128.901333722994,0.078146,
129.916304854671,0.055859,
130.931275986348,0.044993,
131.946247118025,0.059485,
132.961218249702,0.052888,
133.97618938138,0.096267,
134.991160513057,0.074222,
136.006131644734,0.02924,
137.021102776411,0.043288,
138.036073908088,0.036466,
139.051045039765,0.097318,
140.066016171442,0.046594,
141.080987303119,0.100444,
142.095958434797,0.08245,
143.110929566474,0.086765,
144.125900698151,0.045422,
145.140871829828,0.033696,
146.155842961505,0.025773,
147.170814093182,0.027457,
148.185785224859,0.030948,
149.200756356536,0.036111,
150.215727488213,0.060714,
151.230698619891,0.080691,
