Distance (µm),Cr Ox%,
0,0.177508,
1.01497113167711,0.182575,
2.02994226335424,0.181418,
3.04491339503135,0.176706,
4.05988452670847,0.147453,
5.07485565838559,0.181408,
6.08982679006271,0.209471,
7.10479792173982,0.183407,
8.11976905341694,0.15179,
9.13474018509407,0.16918,
10.1497113167712,0.153819,
11.1646824484483,0.173615,
12.1796535801254,0.179811,
13.1946247118025,0.154054,
14.2095958434797,0.180842,
15.2245669751568,0.169512,
16.2395381068339,0.134265,
17.254509238511,0.144498,
18.2694803701881,0.14344,
19.2844515018652,0.173187,
20.2994226335423,0.142555,
21.3143937652195,0.152069,
22.3293648968966,0.12325,
23.3443360285737,0.152298,
24.3593071602508,0.174074,
25.3742782919279,0.15493,
26.3892494236051,0.13272,
27.4042205552822,0.126639,
28.4191916869593,0.164677,
29.4341628186364,0.081841,
30.4491339503135,0.145298,
31.4641050819907,0.139004,
32.4790762136678,0.136341,
33.4940473453449,0.090685,
34.509018477022,0.110329,
35.5239896086991,0.150014,
36.5389607403762,0.118665,
37.5539318720533,0.120456,
38.5689030037305,0.125964,
39.5838741354076,0.136331,
40.5988452670847,0.09502,
41.6138163987618,0.085236,
42.6287875304389,0.103441,
43.6437586621161,0.10622,
44.6587297937932,0.100074,
45.6737009254703,0.085819,
46.6886720571474,0.134922,
47.7036431888245,0.127151,
48.7186143205016,0.122054,
49.7335854521788,0.049568,
50.7485565838559,0.091376,
51.763527715533,0.112703,
52.7784988472101,0.082817,
53.7934699788872,0.083382,
54.8084411105643,0.11536,
55.8234122422415,0.048018,
56.8383833739186,0.11066,
57.8533545055957,0.09114,
58.8683256372728,0.07062,
59.8832967689499,0.093044,
60.8982679006271,0.078709,
61.9132390323042,0.057305,
62.9282101639813,0.088344,
63.9431812956584,0.05268,
64.9581524273355,0.133074,
65.9731235590126,0.242091,
66.9880946906898,0.2736,
68.0030658223669,0.255238,
69.018036954044,0.149014,
70.0330080857211,0.084119,
71.0479792173983,-0.014165,
72.0629503490754,-0.024163,
73.0779214807525,-0.029973,
74.0928926124296,-0.00485,
75.1078637441067,-0.022429,
76.1228348757839,0.007223,
77.137806007461,-0.015028,
78.1527771391381,0.041209,
79.1677482708152,0.013643,
80.1827194024923,0.016819,
81.1976905341694,0.03779,
82.2126616658465,0.02165,
83.2276327975237,0.034781,
84.2426039292008,0.013723,
85.2575750608779,0.058019,
86.272546192555,0.021384,
87.2875173242321,0.04131,
88.3024884559093,0.024328,
89.3174595875864,0.020222,
90.3324307192635,0.004386,
91.3474018509406,0.029806,
92.3623729826177,0.009487,
93.3773441142948,-0.012217,
94.392315245972,0.013094,
95.4072863776491,0.034415,
96.4222575093262,0.035605,
97.4372286410033,0.015881,
98.4521997726804,0.031516,
99.4671709043576,0.010212,
100.482142036035,0.034895,
101.497113167712,0.014952,
102.512084299389,0.033901,
103.527055431066,0.037463,
104.542026562743,0.035425,
105.55699769442,0.030106,
106.571968826097,0.050273,
107.586939957775,0.048775,
108.601911089452,0.033213,
109.616882221129,0.022708,
110.631853352806,0.072737,
111.646824484483,0.231264,
112.66179561616,0.217556,
113.676766747837,0.130725,
114.691737879514,0.122498,
115.706709011191,0.076039,
116.721680142869,0.080116,
117.736651274546,0.080692,
118.751622406223,0.06233,
119.7665935379,0.054239,
120.781564669577,0.079752,
121.796535801254,0.079608,
122.811506932931,0.064738,
123.826478064608,0.049726,
124.841449196286,0.050387,
125.856420327963,0.058733,
126.87139145964,0.051082,
127.886362591317,0.075218,
128.901333722994,0.0824,
129.916304854671,0.079206,
130.931275986348,0.070978,
131.946247118025,0.057835,
132.961218249702,0.048557,
133.97618938138,0.082099,
134.991160513057,0.066094,
136.006131644734,0.073415,
137.021102776411,0.088574,
138.036073908088,0.045736,
139.051045039765,0.081824,
140.066016171442,0.056333,
141.080987303119,0.084968,
142.095958434797,0.024214,
143.110929566474,0.059395,
144.125900698151,0.07,
145.140871829828,0.056923,
146.155842961505,0.056645,
147.170814093182,0.077268,
148.185785224859,0.084764,
149.200756356536,0.063296,
150.215727488213,0.076741,
151.230698619891,0.054546,
