Distance (µm),Si Ox%,
0,49.2278,
1.01497113167711,49.19846,
2.02994226335424,49.29469,
3.04491339503135,49.27551,
4.05988452670847,49.0955,
5.07485565838559,49.15485,
6.08982679006271,49.0733,
7.10479792173982,49.25126,
8.11976905341694,49.27805,
9.13474018509407,49.16267,
10.1497113167712,49.15426,
11.1646824484483,49.0504,
12.1796535801254,49.11951,
13.1946247118025,49.16567,
14.2095958434797,49.17822,
15.2245669751568,48.96485,
16.2395381068339,49.08025,
17.254509238511,49.07998,
18.2694803701881,49.13863,
19.2844515018652,49.12815,
20.2994226335423,49.05294,
21.3143937652195,49.08448,
22.3293648968966,49.18176,
23.3443360285737,49.22984,
24.3593071602508,48.96297,
25.3742782919279,48.66211,
26.3892494236051,47.36705,
27.4042205552822,46.90699,
28.4191916869593,49.37169,
29.4341628186364,49.29025,
30.4491339503135,49.46927,
31.4641050819907,49.32949,
32.4790762136678,49.10807,
33.4940473453449,49.11153,
34.509018477022,49.06257,
35.5239896086991,49.0462,
36.5389607403762,49.15992,
37.5539318720533,49.16699,
38.5689030037305,49.11918,
39.5838741354076,48.96632,
40.5988452670847,49.07128,
41.6138163987618,49.09684,
42.6287875304389,49.12789,
43.6437586621161,49.12871,
44.6587297937932,49.18877,
45.6737009254703,49.04904,
46.6886720571474,49.03197,
47.7036431888245,49.08505,
48.7186143205016,49.11549,
49.7335854521788,48.87921,
50.7485565838559,49.12237,
51.763527715533,48.94904,
52.7784988472101,48.99413,
53.7934699788872,49.16714,
54.8084411105643,49.04579,
55.8234122422415,49.02411,
56.8383833739186,49.01204,
57.8533545055957,49.03029,
58.8683256372728,49.06888,
59.8832967689499,49.25616,
60.8982679006271,49.02608,
61.9132390323042,49.06258,
62.9282101639813,49.46393,
63.9431812956584,50.13019,
64.9581524273355,52.19358,
65.9731235590126,54.01651,
66.9880946906898,54.13567,
68.0030658223669,54.98481,
69.018036954044,53.21619,
70.0330080857211,55.18097,
71.0479792173983,53.60626,
72.0629503490754,56.2976,
73.0779214807525,61.56292,
74.0928926124296,62.45438,
75.1078637441067,61.64855,
76.1228348757839,57.48722,
77.137806007461,52.29485,
78.1527771391381,47.12421,
79.1677482708152,43.7494,
80.1827194024923,40.88331,
81.1976905341694,38.70194,
82.2126616658465,38.34549,
83.2276327975237,38.30554,
84.2426039292008,38.35632,
85.2575750608779,38.41501,
86.272546192555,38.30035,
87.2875173242321,38.74427,
88.3024884559093,39.72831,
89.3174595875864,42.56745,
90.3324307192635,49.2514,
91.3474018509406,55.80278,
92.3623729826177,57.65696,
93.3773441142948,56.76776,
94.392315245972,53.69375,
95.4072863776491,50.11143,
96.4222575093262,48.11953,
97.4372286410033,47.6367,
98.4521997726804,47.98159,
99.4671709043576,48.0945,
100.482142036035,47.08419,
101.497113167712,46.60163,
102.512084299389,46.29851,
103.527055431066,45.8414,
104.542026562743,44.76748,
105.55699769442,44.37039,
106.571968826097,43.66137,
107.586939957775,44.55792,
108.601911089452,49.20782,
109.616882221129,54.02368,
110.631853352806,55.48398,
111.646824484483,56.46627,
112.66179561616,54.72571,
113.676766747837,53.16243,
114.691737879514,53.5638,
115.706709011191,51.86545,
116.721680142869,51.50475,
117.736651274546,51.40372,
118.751622406223,51.43691,
119.7665935379,51.45509,
120.781564669577,51.38173,
121.796535801254,51.32707,
122.811506932931,51.3611,
123.826478064608,51.41375,
124.841449196286,51.42921,
125.856420327963,51.28743,
126.87139145964,51.37296,
127.886362591317,51.57738,
128.901333722994,51.47253,
129.916304854671,51.35136,
130.931275986348,51.47595,
131.946247118025,51.4284,
132.961218249702,51.35806,
133.97618938138,51.46285,
134.991160513057,51.56379,
136.006131644734,51.44341,
137.021102776411,51.54885,
138.036073908088,51.48099,
139.051045039765,51.34674,
140.066016171442,51.40207,
141.080987303119,51.51566,
142.095958434797,51.4417,
143.110929566474,51.55638,
144.125900698151,51.35168,
145.140871829828,51.37597,
146.155842961505,51.41931,
147.170814093182,51.41591,
148.185785224859,51.36456,
149.200756356536,51.63052,
150.215727488213,51.46571,
151.230698619891,51.44557,
