Distance (µm),Si Ox%,
0,52.43361,
0.925452215145084,52.45155,
1.85090443029017,52.41883,
2.77635664543526,52.60592,
3.70180886058034,52.46041,
4.62726107572543,52.52751,
5.55271329087051,52.42984,
6.47816550601559,52.58081,
7.40361772116068,52.30659,
8.32906993630577,52.50035,
9.25452215145085,52.55344,
10.1799743665959,52.44547,
11.105426581741,52.30019,
12.0308787968861,52.36011,
12.9563310120312,52.47722,
13.8817832271763,52.48203,
14.8072354423214,52.50908,
15.7326876574664,52.60145,
16.6581398726115,52.44131,
17.5835920877566,52.49125,
18.5090443029017,52.61541,
19.4344965180468,52.43593,
20.3599487331919,52.41299,
21.285400948337,52.36278,
22.210853163482,52.49284,
23.1363053786271,52.51025,
24.0617575937722,52.42913,
24.9872098089173,52.36539,
25.9126620240624,52.46779,
26.8381142392075,52.45982,
27.7635664543526,52.41626,
28.6890186694976,52.60952,
29.6144708846427,52.46527,
30.5399230997878,52.46438,
31.4653753149329,52.52287,
32.390827530078,52.45349,
33.3162797452231,52.34153,
34.2417319603681,52.42211,
35.1671841755132,52.50261,
36.0926363906583,52.23083,
37.0180886058034,52.49032,
37.9435408209485,52.52467,
38.8689930360936,52.48279,
39.7944452512387,52.47982,
40.7198974663837,52.60795,
41.6453496815288,52.42759,
42.5708018966739,52.41959,
43.496254111819,52.35406,
44.4217063269641,52.53236,
45.3471585421092,52.5078,
46.2726107572543,52.47565,
47.1980629723994,52.41583,
48.1235151875444,52.37024,
49.0489674026895,52.49615,
49.9744196178346,52.46958,
50.8998718329797,52.48829,
51.8253240481248,52.54443,
52.7507762632699,52.4123,
53.6762284784149,52.46777,
54.60168069356,52.45527,
55.5271329087051,52.33699,
56.4525851238502,52.45971,
57.3780373389953,52.45839,
58.3034895541404,52.49734,
59.2289417692855,52.56088,
60.1543939844305,52.41413,
61.0798461995756,52.59486,
62.0052984147207,52.49555,
62.9307506298658,52.41255,
63.8562028450109,52.47198,
64.781655060156,52.34196,
65.707107275301,52.60542,
66.6325594904461,52.34252,
67.5580117055912,52.47171,
68.4834639207363,52.23052,
69.4089161358814,52.50787,
70.3343683510265,52.68294,
71.2598205661716,53.05432,
72.1852727813167,49.61921,
73.1107249964617,42.49406,
74.0361772116068,50.7745,
74.9616294267519,50.20053,
75.887081641897,49.94368,
76.8125338570421,49.97005,
77.7379860721872,50.01585,
78.6634382873322,50.03664,
79.5888905024773,50.02879,
80.5143427176224,49.81586,
81.4397949327675,49.94584,
82.3652471479126,49.87986,
83.2906993630577,49.95321,
84.2161515782028,49.63486,
85.1416037933478,50.02161,
86.0670560084929,50.03822,
86.992508223638,50.0554,
87.9179604387831,49.98435,
88.8434126539282,49.9439,
89.7688648690732,49.90708,
90.6943170842183,50.01757,
91.6197692993634,49.99136,
92.5452215145085,49.98878,
93.4706737296536,49.87832,
94.3961259447987,49.98282,
95.3215781599438,49.92481,
96.2470303750889,49.9951,
97.172482590234,49.85392,
98.097934805379,50.01673,
99.0233870205241,49.94005,
99.9488392356692,49.88269,
100.874291450814,49.98435,
101.799743665959,50.08918,
102.725195881104,49.7664,
103.65064809625,49.8496,
104.576100311395,50.04605,
105.50155252654,50.12916,
106.427004741685,49.89003,
107.35245695683,49.85312,
108.277909171975,49.86905,
109.20336138712,49.98804,
110.128813602265,50.04472,
111.05426581741,49.98276,
111.979718032555,49.78721,
112.9051702477,50.09056,
113.830622462846,50.02975,
114.756074677991,50.02412,
115.681526893136,49.93106,
116.606979108281,49.94984,
117.532431323426,49.77056,
118.457883538571,49.97154,
119.383335753716,49.80553,
120.308787968861,49.91751,
121.234240184006,49.93023,
122.159692399151,49.87427,
123.085144614296,50.03849,
124.010596829441,50.09554,
124.936049044587,49.91018,
125.861501259732,49.98002,
126.786953474877,49.97957,
127.712405690022,49.70728,
128.637857905167,49.8202,
129.563310120312,49.83595,
130.488762335457,49.80353,
131.414214550602,49.56108,
132.339666765747,49.37842,
133.265118980892,49.58574,
134.190571196037,50.04411,
135.116023411182,49.84576,
136.041475626328,49.97734,
136.966927841473,50.05593,
137.892380056618,50.11231,
