Distance (µm),Mn Ox%,
0,0.143063,
0.925452215145084,0.178163,
1.85090443029017,0.196243,
2.77635664543526,0.176592,
3.70180886058034,0.192089,
4.62726107572543,0.19982,
5.55271329087051,0.18974,
6.47816550601559,0.197719,
7.40361772116068,0.194933,
8.32906993630577,0.176662,
9.25452215145085,0.204061,
10.1799743665959,0.200061,
11.105426581741,0.177062,
12.0308787968861,0.174622,
12.9563310120312,0.187026,
13.8817832271763,0.162994,
14.8072354423214,0.194307,
15.7326876574664,0.211086,
16.6581398726115,0.18399,
17.5835920877566,0.179238,
18.5090443029017,0.229329,
19.4344965180468,0.183185,
20.3599487331919,0.205207,
21.285400948337,0.160487,
22.210853163482,0.183964,
23.1363053786271,0.182963,
24.0617575937722,0.182718,
24.9872098089173,0.189594,
25.9126620240624,0.168846,
26.8381142392075,0.167042,
27.7635664543526,0.20269,
28.6890186694976,0.206853,
29.6144708846427,0.216171,
30.5399230997878,0.171992,
31.4653753149329,0.174032,
32.390827530078,0.192029,
33.3162797452231,0.16495,
34.2417319603681,0.208372,
35.1671841755132,0.185432,
36.0926363906583,0.197409,
37.0180886058034,0.193205,
37.9435408209485,0.173684,
38.8689930360936,0.169636,
39.7944452512387,0.208645,
40.7198974663837,0.176763,
41.6453496815288,0.193104,
42.5708018966739,0.176695,
43.496254111819,0.199196,
44.4217063269641,0.203161,
45.3471585421092,0.1944,
46.2726107572543,0.145201,
47.1980629723994,0.182279,
48.1235151875444,0.198953,
49.0489674026895,0.206334,
49.9744196178346,0.1983,
50.8998718329797,0.206103,
51.8253240481248,0.164831,
52.7507762632699,0.161046,
53.6762284784149,0.17251,
54.60168069356,0.208486,
55.5271329087051,0.183682,
56.4525851238502,0.185256,
57.3780373389953,0.218127,
58.3034895541404,0.172606,
59.2289417692855,0.213674,
60.1543939844305,0.173458,
61.0798461995756,0.16097,
62.0052984147207,0.201536,
62.9307506298658,0.207139,
63.8562028450109,0.201795,
64.781655060156,0.204724,
65.707107275301,0.216924,
66.6325594904461,0.192055,
67.5580117055912,0.163771,
68.4834639207363,0.202008,
69.4089161358814,0.196108,
70.3343683510265,0.196924,
71.2598205661716,0.173018,
72.1852727813167,0.144641,
73.1107249964617,0.145987,
74.0361772116068,0.10472,
74.9616294267519,0.106466,
75.887081641897,0.162498,
76.8125338570421,0.136415,
77.7379860721872,0.182649,
78.6634382873322,0.145956,
79.5888905024773,0.123111,
80.5143427176224,0.129592,
81.4397949327675,0.147039,
82.3652471479126,0.124393,
83.2906993630577,0.130405,
84.2161515782028,0.114485,
85.1416037933478,0.163422,
86.0670560084929,0.151395,
86.992508223638,0.121053,
87.9179604387831,0.113915,
88.8434126539282,0.1196,
89.7688648690732,0.144042,
90.6943170842183,0.155125,
91.6197692993634,0.12746,
92.5452215145085,0.131325,
93.4706737296536,0.120127,
94.3961259447987,0.121566,
95.3215781599438,0.14706,
96.2470303750889,0.088474,
97.172482590234,0.127746,
98.097934805379,0.140139,
99.0233870205241,0.124697,
99.9488392356692,0.092423,
100.874291450814,0.126244,
101.799743665959,0.13144,
102.725195881104,0.128814,
103.65064809625,0.128141,
104.576100311395,0.129402,
105.50155252654,0.15124,
106.427004741685,0.138053,
107.35245695683,0.129807,
108.277909171975,0.1307,
109.20336138712,0.118059,
110.128813602265,0.112095,
111.05426581741,0.127523,
111.979718032555,0.074947,
112.9051702477,0.147522,
113.830622462846,0.085207,
114.756074677991,0.154246,
115.681526893136,0.161233,
116.606979108281,0.122752,
117.532431323426,0.143293,
118.457883538571,0.139149,
119.383335753716,0.122123,
120.308787968861,0.121764,
121.234240184006,0.126987,
122.159692399151,0.113405,
123.085144614296,0.152148,
124.010596829441,0.121059,
124.936049044587,0.097457,
125.861501259732,0.103479,
126.786953474877,0.111089,
127.712405690022,0.127345,
128.637857905167,0.157085,
129.563310120312,0.117606,
130.488762335457,0.126722,
131.414214550602,0.12489,
132.339666765747,0.116588,
133.265118980892,0.113532,
134.190571196037,0.168654,
135.116023411182,0.120334,
136.041475626328,0.164712,
136.966927841473,0.141812,
137.892380056618,0.141522,
