Distance (µm),K Ox%,
0,0.005988,
0.925452215145084,0.003002,
1.85090443029017,0.009977,
2.77635664543526,0.01505,
3.70180886058034,0.014212,
4.62726107572543,0.007402,
5.55271329087051,-0.000311,
6.47816550601559,0.029272,
7.40361772116068,0.027113,
8.32906993630577,0.015391,
9.25452215145085,0.025842,
10.1799743665959,0.004132,
11.105426581741,0.020873,
12.0308787968861,0.025313,
12.9563310120312,0.030905,
13.8817832271763,0.015276,
14.8072354423214,0.017786,
15.7326876574664,0.013569,
16.6581398726115,0.020432,
17.5835920877566,0.00571,
18.5090443029017,-0.005233,
19.4344965180468,0.019908,
20.3599487331919,0.010545,
21.285400948337,0.02915,
22.210853163482,0.017788,
23.1363053786271,-0.000565,
24.0617575937722,-0.001658,
24.9872098089173,0.023107,
25.9126620240624,0.015857,
26.8381142392075,0.026864,
27.7635664543526,0.019275,
28.6890186694976,0.008878,
29.6144708846427,0.024687,
30.5399230997878,0.004992,
31.4653753149329,0.018885,
32.390827530078,0.013292,
33.3162797452231,0.010544,
34.2417319603681,0.040244,
35.1671841755132,-0.007864,
36.0926363906583,-0.005627,
37.0180886058034,0.027457,
37.9435408209485,0.008489,
38.8689930360936,0.022685,
39.7944452512387,0.005634,
40.7198974663837,0.009644,
41.6453496815288,0.006034,
42.5708018966739,0.025005,
43.496254111819,0.010028,
44.4217063269641,0.002888,
45.3471585421092,0.027681,
46.2726107572543,-0.006027,
47.1980629723994,0.014081,
48.1235151875444,0.005437,
49.0489674026895,0.021492,
49.9744196178346,0.015435,
50.8998718329797,0.011293,
51.8253240481248,0.011745,
52.7507762632699,0.016111,
53.6762284784149,0.012981,
54.60168069356,0.011965,
55.5271329087051,-0.005292,
56.4525851238502,0.011568,
57.3780373389953,0.009209,
58.3034895541404,0.005651,
59.2289417692855,0.007184,
60.1543939844305,0.001445,
61.0798461995756,0.00574,
62.0052984147207,0.03483,
62.9307506298658,0.012485,
63.8562028450109,0.008995,
64.781655060156,0.027448,
65.707107275301,0.046006,
66.6325594904461,-0.001548,
67.5580117055912,0.041955,
68.4834639207363,0.007494,
69.4089161358814,0.035756,
70.3343683510265,0.002536,
71.2598205661716,0.017043,
72.1852727813167,0.062224,
73.1107249964617,0.077162,
74.0361772116068,0.049321,
74.9616294267519,0.030968,
75.887081641897,0.03603,
76.8125338570421,0.042692,
77.7379860721872,0.039399,
78.6634382873322,0.051011,
79.5888905024773,0.037854,
80.5143427176224,0.021542,
81.4397949327675,0.042567,
82.3652471479126,0.035629,
83.2906993630577,0.048307,
84.2161515782028,0.038202,
85.1416037933478,0.026498,
86.0670560084929,0.031718,
86.992508223638,0.035691,
87.9179604387831,0.043733,
88.8434126539282,0.041441,
89.7688648690732,0.016411,
90.6943170842183,0.033007,
91.6197692993634,0.044112,
92.5452215145085,0.049385,
93.4706737296536,0.050321,
94.3961259447987,0.012805,
95.3215781599438,0.031418,
96.2470303750889,0.038262,
97.172482590234,0.037911,
98.097934805379,0.039195,
99.0233870205241,0.045754,
99.9488392356692,0.033721,
100.874291450814,0.028742,
101.799743665959,0.031708,
102.725195881104,0.03539,
103.65064809625,0.044269,
104.576100311395,0.054404,
105.50155252654,0.047449,
106.427004741685,0.038642,
107.35245695683,0.052086,
108.277909171975,0.019274,
109.20336138712,0.04788,
110.128813602265,0.018883,
111.05426581741,0.030954,
111.979718032555,0.059765,
112.9051702477,0.039191,
113.830622462846,0.027271,
114.756074677991,0.033509,
115.681526893136,0.033346,
116.606979108281,0.038589,
117.532431323426,0.017582,
118.457883538571,0.043451,
119.383335753716,0.011527,
120.308787968861,0.031846,
121.234240184006,0.029437,
122.159692399151,0.036168,
123.085144614296,0.02856,
124.010596829441,0.023309,
124.936049044587,0.051374,
125.861501259732,0.04882,
126.786953474877,0.035765,
127.712405690022,0.037919,
128.637857905167,0.020377,
129.563310120312,0.028128,
130.488762335457,0.022995,
131.414214550602,0.021993,
132.339666765747,0.036135,
133.265118980892,0.027817,
134.190571196037,0.025686,
135.116023411182,0.026363,
136.041475626328,0.018859,
136.966927841473,0.03129,
137.892380056618,0.024858,
